number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.6545377969741821,0.02855425328016281,1.7421247959136963,0.02821996808052063,2022-08-10 09:58:03.836393,2022-08-10 10:14:36.370070,0 days 00:16:32.533677,21,32,0.1,0.95,21,256,3,2.0,0.0001,2,3,0,128,1.0,6,1,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
1,1.9949314594268799,0.03372013568878174,2.0428214073181152,0.034046560525894165,2022-08-10 10:14:36.371790,2022-08-10 10:27:19.317704,0 days 00:12:42.945914,21,32,0.1,0.95,21,256,3,2.0,0.0001,1,3,0,128,1.0,6,0,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
2,0.9525097012519836,0.018307611346244812,1.652219533920288,0.021402299404144287,2022-08-10 10:27:19.319624,2022-08-10 10:56:15.630101,0 days 00:28:56.310477,21,32,0.1,0.95,21,256,3,2.0,0.0001,7,3,0,128,1.0,6,6,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
3,1.366036057472229,0.0207505002617836,1.5692970752716064,0.0215742290019989,2022-08-10 10:56:15.632129,2022-08-10 11:16:44.690237,0 days 00:20:29.058108,21,32,0.1,0.95,21,256,3,2.0,0.0001,4,3,0,128,1.0,6,3,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
4,1.2465912103652954,0.02057190239429474,1.5476332902908325,0.023187696933746338,2022-08-10 11:16:44.692003,2022-08-10 11:39:53.158620,0 days 00:23:08.466617,21,32,0.1,0.95,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
5,1.1042641401290894,0.019691087305545807,1.5680900812149048,0.023519158363342285,2022-08-10 11:39:53.160486,2022-08-10 12:05:59.004168,0 days 00:26:05.843682,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,3,0,128,1.0,6,5,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
6,0.9876207113265991,0.021002404391765594,1.6999136209487915,0.021672457456588745,2022-08-10 12:05:59.006221,2022-08-10 12:38:43.001689,0 days 00:32:43.995468,21,32,0.1,0.95,21,256,3,2.0,0.0001,9,3,0,128,1.0,6,8,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
7,0.9912165403366089,0.019743703305721283,1.6769354343414307,0.021974831819534302,2022-08-10 12:38:43.002432,2022-08-10 13:09:20.063316,0 days 00:30:37.060884,21,32,0.1,0.95,21,256,3,2.0,0.0001,8,3,0,128,1.0,6,7,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
8,0.902707576751709,0.01773776113986969,1.7626879215240479,0.02233847975730896,2022-08-10 13:09:20.064935,2022-08-10 13:45:18.217437,0 days 00:35:58.152502,21,32,0.1,0.95,21,256,3,2.0,0.0001,10,3,0,128,1.0,6,9,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
9,1.505905032157898,0.02081778645515442,1.6369203329086304,0.021472454071044922,2022-08-10 13:45:18.219379,2022-08-10 14:03:07.645442,0 days 00:17:49.426063,21,32,0.1,0.95,21,256,3,2.0,0.0001,3,3,0,128,1.0,6,2,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
