number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.6548256874084473,0.02854849398136139,1.742688536643982,0.02818542718887329,2022-08-10 10:00:53.934703,2022-08-10 10:24:24.598285,0 days 00:23:30.663582,21,32,0.1,0.95,21,256,3,2.0,0.0001,2,3,0,128,1.0,6,1,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
1,1.9940168857574463,0.033583156764507294,2.041914701461792,0.03397434949874878,2022-08-10 10:24:24.599244,2022-08-10 10:41:16.574623,0 days 00:16:51.975379,21,32,0.1,0.95,21,256,3,2.0,0.0001,1,3,0,128,1.0,6,0,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
2,0.9533390998840332,0.01829896867275238,1.6511110067367554,0.021418362855911255,2022-08-10 10:41:16.575469,2022-08-10 11:36:44.251903,0 days 00:55:27.676434,21,32,0.1,0.95,21,256,3,2.0,0.0001,7,3,0,128,1.0,6,6,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
3,1.3652064800262451,0.0207807794213295,1.5693161487579346,0.02160102128982544,2022-08-10 11:36:44.252765,2022-08-10 12:11:19.692444,0 days 00:34:35.439679,21,32,0.1,0.95,21,256,3,2.0,0.0001,4,3,0,128,1.0,6,3,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
4,1.2475322484970093,0.020653337240219116,1.5483051538467407,0.02335992455482483,2022-08-10 12:11:19.693312,2022-08-10 12:52:00.459073,0 days 00:40:40.765761,21,32,0.1,0.95,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
5,1.1039693355560303,0.0197133868932724,1.5701422691345215,0.022686660289764404,2022-08-10 12:52:00.459951,2022-08-10 13:39:12.085040,0 days 00:47:11.625089,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,3,0,128,1.0,6,5,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
6,0.9895101189613342,0.021130122244358063,1.6990277767181396,0.02179470658302307,2022-08-10 13:39:12.085776,2022-08-10 14:58:21.396973,0 days 01:19:09.311197,21,32,0.1,0.95,21,256,3,2.0,0.0001,9,3,0,128,1.0,6,8,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
7,0.9906606078147888,0.019785955548286438,1.6791985034942627,0.021961897611618042,2022-08-10 14:58:21.397729,2022-08-10 16:03:51.029849,0 days 01:05:29.632120,21,32,0.1,0.95,21,256,3,2.0,0.0001,8,3,0,128,1.0,6,7,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
8,0.8997966051101685,0.017582885921001434,1.7600789070129395,0.022709786891937256,2022-08-10 16:03:51.030566,2022-08-10 17:43:12.338435,0 days 01:39:21.307869,21,32,0.1,0.95,21,256,3,2.0,0.0001,10,3,0,128,1.0,6,9,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
9,1.5051120519638062,0.02063116431236267,1.6358720064163208,0.02149870991706848,2022-08-10 17:43:12.339469,2022-08-10 18:11:52.438012,0 days 00:28:40.098543,21,32,0.1,0.95,21,256,3,2.0,0.0001,3,3,0,128,1.0,6,2,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
