number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.760814905166626,0.016144419088959694,1.8413259983062744,0.035192251205444336,2022-08-09 09:52:21.783037,2022-08-09 10:06:01.662130,0 days 00:13:39.879093,21,256,0.1,0.95,21,512,3,2.0,0.0001,2,3,0,128,1.0,4,1,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
1,2.185673952102661,0.011174822226166725,2.2221102714538574,0.02752554416656494,2022-08-09 10:06:01.663550,2022-08-09 10:18:53.328041,0 days 00:12:51.664491,21,256,0.1,0.95,21,512,3,2.0,0.0001,1,3,0,128,1.0,4,0,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
2,1.1783170700073242,0.0119544742628932,1.7323520183563232,0.061753034591674805,2022-08-09 10:18:53.329026,2022-08-09 10:37:56.633708,0 days 00:19:03.304682,21,256,0.1,0.95,21,512,3,2.0,0.0001,7,3,0,128,1.0,4,6,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
3,1.5518406629562378,0.010949039831757545,1.671010971069336,0.043005526065826416,2022-08-09 10:37:56.635207,2022-08-09 10:54:11.340640,0 days 00:16:14.705433,21,256,0.1,0.95,21,512,3,2.0,0.0001,4,3,0,128,1.0,4,3,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
4,1.451309084892273,0.012984228320419788,1.6569416522979736,0.03539693355560303,2022-08-09 10:54:11.341702,2022-08-09 11:10:56.567883,0 days 00:16:45.226181,21,256,0.1,0.95,21,512,3,2.0,0.0001,5,3,0,128,1.0,4,4,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
5,1.2944656610488892,0.0091406824067235,1.6514661312103271,0.031097412109375,2022-08-09 11:10:56.568916,2022-08-09 11:29:03.398581,0 days 00:18:06.829665,21,256,0.1,0.95,21,512,3,2.0,0.0001,6,3,0,128,1.0,4,5,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
6,1.0746525526046753,0.012849545106291771,1.8419878482818604,0.0389176607131958,2022-08-09 11:29:03.399594,2022-08-09 11:49:34.749670,0 days 00:20:31.350076,21,256,0.1,0.95,21,512,3,2.0,0.0001,9,3,0,128,1.0,4,8,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
7,1.1459754705429077,0.011974453926086426,1.752586841583252,0.023776233196258545,2022-08-09 11:49:34.750570,2022-08-09 12:09:13.675158,0 days 00:19:38.924588,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,3,0,128,1.0,4,7,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
8,1.1199175119400024,0.012218618765473366,1.8298768997192383,0.05370277166366577,2022-08-09 12:09:13.676609,2022-08-09 12:30:24.188512,0 days 00:21:10.511903,21,256,0.1,0.95,21,512,3,2.0,0.0001,10,3,0,128,1.0,4,9,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
9,1.6310807466506958,0.01308300532400608,1.718878984451294,0.028392434120178223,2022-08-09 12:30:24.189572,2022-08-09 12:44:42.448213,0 days 00:14:18.258641,21,256,0.1,0.95,21,512,3,2.0,0.0001,3,3,0,128,1.0,4,2,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
