,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,22.0,0.36065573770491804,20.0,0.32786885245901637
1,seq_1,33.0,0.5409836065573771,32.0,0.5245901639344263
2,seq_2,23.0,0.3770491803278688,21.0,0.3442622950819672
3,seq_3,25.0,0.4032258064516129,24.0,0.3870967741935484
4,seq_4,35.0,0.5303030303030303,35.0,0.5303030303030303
5,seq_5,25.0,0.38461538461538464,25.0,0.38461538461538464
6,seq_6,29.0,0.4603174603174603,26.0,0.4126984126984127
7,seq_7,21.0,0.3387096774193548,21.0,0.3387096774193548
8,seq_8,33.0,0.5409836065573771,30.0,0.4918032786885246
9,seq_9,22.0,0.3384615384615385,22.0,0.3384615384615385
10,seq_10,26.0,0.41935483870967744,24.0,0.3870967741935484
11,seq_11,29.0,0.47540983606557374,29.0,0.47540983606557374
12,seq_12,23.0,0.35384615384615387,22.0,0.36065573770491804
13,seq_13,39.0,0.5909090909090909,37.0,0.5606060606060606
14,seq_14,40.0,0.6153846153846154,40.0,0.6153846153846154
15,seq_15,30.0,0.46153846153846156,29.0,0.47540983606557374
16,seq_16,20.0,0.3076923076923077,20.0,0.3076923076923077
17,seq_17,33.0,0.5076923076923077,30.0,0.4918032786885246
18,seq_18,15.0,0.2459016393442623,15.0,0.2459016393442623
19,seq_19,25.0,0.38461538461538464,23.0,0.3770491803278688
20,seq_20,24.0,0.39344262295081966,23.0,0.3770491803278688
21,seq_21,26.0,0.4262295081967213,22.0,0.36065573770491804
22,seq_22,25.0,0.38461538461538464,22.0,0.36065573770491804
23,seq_23,34.0,0.5230769230769231,34.0,0.5230769230769231
24,seq_24,35.0,0.5737704918032787,33.0,0.5409836065573771
25,seq_25,26.0,0.4262295081967213,23.0,0.3770491803278688
26,seq_26,23.0,0.3770491803278688,19.0,0.3114754098360656
27,seq_27,33.0,0.532258064516129,30.0,0.4838709677419355
28,seq_28,38.0,0.6031746031746031,35.0,0.5555555555555556
29,seq_29,27.0,0.43548387096774194,26.0,0.41935483870967744
30,seq_30,28.0,0.42424242424242425,25.0,0.3787878787878788
31,seq_31,30.0,0.4918032786885246,29.0,0.47540983606557374
32,seq_32,26.0,0.4,26.0,0.4
33,seq_33,25.0,0.38461538461538464,24.0,0.39344262295081966
34,seq_34,29.0,0.47540983606557374,27.0,0.4426229508196721
35,seq_35,33.0,0.5076923076923077,33.0,0.5076923076923077
36,seq_36,24.0,0.39344262295081966,22.0,0.36065573770491804
37,seq_37,33.0,0.5076923076923077,33.0,0.5076923076923077
38,seq_38,34.0,0.5396825396825397,34.0,0.5396825396825397
39,seq_39,30.0,0.4918032786885246,28.0,0.45901639344262296
40,seq_40,36.0,0.5538461538461539,35.0,0.5737704918032787
41,seq_41,32.0,0.48484848484848486,30.0,0.45454545454545453
42,seq_42,30.0,0.4838709677419355,28.0,0.45161290322580644
43,seq_43,16.0,0.26229508196721313,16.0,0.26229508196721313
44,seq_44,32.0,0.5245901639344263,31.0,0.5081967213114754
45,seq_45,33.0,0.5409836065573771,30.0,0.4918032786885246
46,seq_46,25.0,0.38461538461538464,24.0,0.3870967741935484
47,seq_47,29.0,0.4603174603174603,29.0,0.4603174603174603
48,seq_48,27.0,0.42857142857142855,27.0,0.42857142857142855
49,seq_49,21.0,0.3442622950819672,19.0,0.3114754098360656
50,seq_50,42.0,0.5454545454545454,42.0,0.5454545454545454
51,seq_51,30.0,0.46153846153846156,29.0,0.4461538461538462
52,seq_52,31.0,0.5,30.0,0.4838709677419355
53,seq_53,24.0,0.39344262295081966,22.0,0.36065573770491804
54,seq_54,35.0,0.5384615384615384,35.0,0.5384615384615384
55,seq_55,22.0,0.36065573770491804,20.0,0.32786885245901637
56,seq_56,30.0,0.46153846153846156,30.0,0.46153846153846156
57,seq_57,24.0,0.36923076923076925,23.0,0.3770491803278688
58,seq_58,31.0,0.5,29.0,0.46774193548387094
59,seq_59,36.0,0.5901639344262295,34.0,0.5573770491803278
60,seq_60,35.0,0.5737704918032787,34.0,0.5573770491803278
61,seq_61,29.0,0.4461538461538462,28.0,0.45901639344262296
62,seq_62,28.0,0.45161290322580644,27.0,0.43548387096774194
63,seq_63,28.0,0.45161290322580644,28.0,0.45161290322580644
64,seq_64,26.0,0.4262295081967213,23.0,0.3770491803278688
65,seq_65,27.0,0.4090909090909091,27.0,0.4090909090909091
66,seq_66,24.0,0.39344262295081966,24.0,0.39344262295081966
67,seq_67,23.0,0.3770491803278688,21.0,0.3442622950819672
68,seq_68,28.0,0.4307692307692308,26.0,0.41935483870967744
69,seq_69,28.0,0.45161290322580644,26.0,0.41935483870967744
70,seq_70,33.0,0.5076923076923077,33.0,0.5076923076923077
71,seq_71,43.0,0.581081081081081,43.0,0.581081081081081
72,seq_72,30.0,0.46153846153846156,29.0,0.47540983606557374
73,seq_73,30.0,0.46153846153846156,28.0,0.45901639344262296
74,seq_74,34.0,0.5573770491803278,33.0,0.5409836065573771
75,seq_75,35.0,0.5737704918032787,33.0,0.5409836065573771
76,seq_76,36.0,0.5901639344262295,35.0,0.5737704918032787
77,seq_77,34.0,0.5230769230769231,34.0,0.5230769230769231
78,seq_78,30.0,0.46153846153846156,30.0,0.46153846153846156
79,seq_79,31.0,0.47692307692307695,31.0,0.47692307692307695
80,seq_80,31.0,0.5081967213114754,29.0,0.47540983606557374
81,seq_81,30.0,0.46153846153846156,30.0,0.46153846153846156
82,seq_82,31.0,0.5081967213114754,31.0,0.5081967213114754
83,seq_83,22.0,0.3384615384615385,21.0,0.3442622950819672
84,seq_84,31.0,0.4696969696969697,30.0,0.45454545454545453
85,seq_85,32.0,0.49230769230769234,32.0,0.49230769230769234
86,seq_86,30.0,0.4838709677419355,29.0,0.46774193548387094
87,seq_87,23.0,0.3770491803278688,22.0,0.36065573770491804
88,seq_88,32.0,0.49230769230769234,32.0,0.49230769230769234
89,seq_89,27.0,0.4426229508196721,24.0,0.39344262295081966
90,seq_90,21.0,0.3442622950819672,21.0,0.3442622950819672
91,seq_91,22.0,0.3384615384615385,22.0,0.3384615384615385
92,seq_92,30.0,0.4838709677419355,29.0,0.46774193548387094
93,seq_93,29.0,0.47540983606557374,26.0,0.4262295081967213
94,seq_94,31.0,0.5,28.0,0.45161290322580644
95,seq_95,33.0,0.5076923076923077,33.0,0.5076923076923077
96,seq_96,30.0,0.46153846153846156,29.0,0.47540983606557374
97,seq_97,19.0,0.3114754098360656,19.0,0.3114754098360656
98,seq_98,26.0,0.4,25.0,0.4098360655737705
99,seq_99,26.0,0.4,24.0,0.4
