,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,7.0,0.11475409836065574,5.0,0.08333333333333333
1,seq_1,21.0,0.3442622950819672,16.0,0.26666666666666666
2,seq_2,32.0,0.5245901639344263,32.0,0.5245901639344263
3,seq_3,20.0,0.31746031746031744,11.0,0.18032786885245902
4,seq_4,11.0,0.18032786885245902,7.0,0.11666666666666667
5,seq_5,10.0,0.16393442622950818,7.0,0.11666666666666667
6,seq_6,20.0,0.32786885245901637,13.0,0.21666666666666667
7,seq_7,25.0,0.4098360655737705,22.0,0.36666666666666664
8,seq_8,25.0,0.4032258064516129,21.0,0.3387096774193548
9,seq_9,10.0,0.16393442622950818,9.0,0.15
10,seq_10,24.0,0.39344262295081966,18.0,0.29508196721311475
11,seq_11,30.0,0.4838709677419355,25.0,0.4032258064516129
12,seq_12,18.0,0.29508196721311475,10.0,0.16666666666666666
13,seq_13,27.0,0.4426229508196721,20.0,0.32786885245901637
14,seq_14,10.0,0.16393442622950818,5.0,0.08333333333333333
15,seq_15,21.0,0.3442622950819672,15.0,0.25
16,seq_16,31.0,0.4696969696969697,28.0,0.42424242424242425
17,seq_17,24.0,0.39344262295081966,22.0,0.36666666666666664
18,seq_18,23.0,0.3770491803278688,17.0,0.2833333333333333
19,seq_19,25.0,0.4098360655737705,19.0,0.31666666666666665
20,seq_20,13.0,0.21311475409836064,6.0,0.1
21,seq_21,22.0,0.36065573770491804,21.0,0.35
22,seq_22,24.0,0.39344262295081966,20.0,0.3333333333333333
23,seq_23,32.0,0.5245901639344263,31.0,0.5166666666666667
24,seq_24,14.0,0.22950819672131148,8.0,0.13333333333333333
25,seq_25,11.0,0.18032786885245902,3.0,0.05
26,seq_26,36.0,0.5901639344262295,33.0,0.5409836065573771
27,seq_27,26.0,0.41935483870967744,22.0,0.3548387096774194
28,seq_28,32.0,0.5161290322580645,29.0,0.46774193548387094
29,seq_29,30.0,0.4838709677419355,23.0,0.38333333333333336
30,seq_30,19.0,0.3114754098360656,12.0,0.19672131147540983
31,seq_31,11.0,0.18032786885245902,8.0,0.13333333333333333
