,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,36.0,0.5625,33.0,0.532258064516129
1,seq_1,38.0,0.6333333333333333,31.0,0.5166666666666667
2,seq_2,34.0,0.5573770491803278,29.0,0.46774193548387094
3,seq_3,40.0,0.6557377049180327,34.0,0.5573770491803278
4,seq_4,43.0,0.6935483870967742,43.0,0.6935483870967742
5,seq_5,40.0,0.6451612903225806,38.0,0.6129032258064516
6,seq_6,41.0,0.6833333333333333,36.0,0.6
7,seq_7,37.0,0.5967741935483871,29.0,0.46774193548387094
8,seq_8,34.0,0.5483870967741935,28.0,0.45161290322580644
9,seq_9,39.0,0.6290322580645161,36.0,0.5806451612903226
10,seq_10,32.0,0.5079365079365079,31.0,0.5
11,seq_11,40.0,0.6153846153846154,31.0,0.5081967213114754
12,seq_12,35.0,0.5833333333333334,26.0,0.43333333333333335
13,seq_13,42.0,0.6885245901639344,35.0,0.5737704918032787
14,seq_14,35.0,0.5645161290322581,28.0,0.45161290322580644
15,seq_15,40.0,0.6451612903225806,35.0,0.5645161290322581
16,seq_16,39.0,0.6290322580645161,34.0,0.5483870967741935
17,seq_17,43.0,0.6825396825396826,39.0,0.6290322580645161
18,seq_18,33.0,0.5409836065573771,27.0,0.4426229508196721
19,seq_19,29.0,0.4393939393939394,23.0,0.3709677419354839
20,seq_20,35.0,0.5737704918032787,27.0,0.43548387096774194
21,seq_21,34.0,0.5074626865671642,29.0,0.46774193548387094
22,seq_22,40.0,0.6451612903225806,36.0,0.5806451612903226
23,seq_23,37.0,0.6166666666666667,33.0,0.55
24,seq_24,33.0,0.532258064516129,27.0,0.43548387096774194
25,seq_25,39.0,0.6290322580645161,36.0,0.5806451612903226
26,seq_26,34.0,0.5396825396825397,30.0,0.4918032786885246
27,seq_27,37.0,0.5873015873015873,32.0,0.5333333333333333
28,seq_28,42.0,0.6774193548387096,41.0,0.6721311475409836
29,seq_29,41.0,0.6721311475409836,32.0,0.5161290322580645
30,seq_30,44.0,0.7213114754098361,39.0,0.6290322580645161
31,seq_31,43.0,0.6935483870967742,38.0,0.6129032258064516
32,seq_32,35.0,0.5303030303030303,27.0,0.43548387096774194
33,seq_33,37.0,0.5967741935483871,33.0,0.5409836065573771
34,seq_34,37.0,0.5967741935483871,32.0,0.5161290322580645
35,seq_35,40.0,0.6557377049180327,36.0,0.5806451612903226
36,seq_36,40.0,0.6451612903225806,33.0,0.532258064516129
37,seq_37,40.0,0.6060606060606061,32.0,0.5161290322580645
38,seq_38,39.0,0.65,35.0,0.5645161290322581
39,seq_39,36.0,0.5714285714285714,33.0,0.532258064516129
40,seq_40,35.0,0.5645161290322581,32.0,0.5161290322580645
41,seq_41,42.0,0.6774193548387096,37.0,0.5967741935483871
42,seq_42,35.0,0.5645161290322581,31.0,0.5
43,seq_43,39.0,0.6290322580645161,35.0,0.5833333333333334
44,seq_44,39.0,0.6290322580645161,35.0,0.5645161290322581
45,seq_45,37.0,0.6379310344827587,32.0,0.5333333333333333
46,seq_46,39.0,0.6290322580645161,32.0,0.5161290322580645
47,seq_47,40.0,0.6557377049180327,36.0,0.5901639344262295
48,seq_48,39.0,0.6290322580645161,31.0,0.5
49,seq_49,36.0,0.5806451612903226,30.0,0.4838709677419355
50,seq_50,38.0,0.6129032258064516,37.0,0.6065573770491803
51,seq_51,36.0,0.5901639344262295,31.0,0.5254237288135594
52,seq_52,31.0,0.47692307692307695,24.0,0.3870967741935484
53,seq_53,35.0,0.5833333333333334,33.0,0.55
54,seq_54,43.0,0.7049180327868853,38.0,0.6229508196721312
55,seq_55,33.0,0.5409836065573771,29.0,0.47540983606557374
56,seq_56,39.0,0.639344262295082,35.0,0.5737704918032787
57,seq_57,33.0,0.559322033898305,28.0,0.45161290322580644
58,seq_58,37.0,0.5967741935483871,31.0,0.5
59,seq_59,34.0,0.5396825396825397,31.0,0.5
60,seq_60,39.0,0.639344262295082,36.0,0.5806451612903226
61,seq_61,37.0,0.6065573770491803,34.0,0.5666666666666667
62,seq_62,31.0,0.484375,25.0,0.4032258064516129
63,seq_63,33.0,0.532258064516129,29.0,0.46774193548387094
64,seq_64,35.0,0.5645161290322581,31.0,0.5
65,seq_65,32.0,0.5245901639344263,28.0,0.4666666666666667
66,seq_66,34.0,0.5483870967741935,29.0,0.46774193548387094
67,seq_67,28.0,0.45161290322580644,26.0,0.41935483870967744
68,seq_68,42.0,0.6666666666666666,41.0,0.6507936507936508
69,seq_69,44.0,0.676923076923077,40.0,0.6666666666666666
70,seq_70,38.0,0.6333333333333333,33.0,0.55
71,seq_71,39.0,0.5909090909090909,33.0,0.532258064516129
72,seq_72,39.0,0.6290322580645161,20.0,0.3225806451612903
73,seq_73,43.0,0.6825396825396826,42.0,0.6666666666666666
74,seq_74,37.0,0.5967741935483871,32.0,0.5161290322580645
75,seq_75,32.0,0.5161290322580645,30.0,0.4838709677419355
76,seq_76,35.0,0.5303030303030303,29.0,0.46774193548387094
77,seq_77,34.0,0.5483870967741935,23.0,0.3709677419354839
78,seq_78,37.0,0.5967741935483871,33.0,0.532258064516129
79,seq_79,33.0,0.532258064516129,29.0,0.46774193548387094
80,seq_80,39.0,0.639344262295082,34.0,0.5573770491803278
81,seq_81,38.0,0.6129032258064516,30.0,0.4838709677419355
82,seq_82,33.0,0.532258064516129,25.0,0.4032258064516129
83,seq_83,39.0,0.6290322580645161,36.0,0.5806451612903226
84,seq_84,40.0,0.6557377049180327,40.0,0.6557377049180327
85,seq_85,44.0,0.7213114754098361,39.0,0.65
86,seq_86,41.0,0.6721311475409836,39.0,0.639344262295082
87,seq_87,34.0,0.5483870967741935,30.0,0.4838709677419355
88,seq_88,41.0,0.6612903225806451,36.0,0.5806451612903226
89,seq_89,40.0,0.6451612903225806,37.0,0.5967741935483871
90,seq_90,42.0,0.6774193548387096,38.0,0.6129032258064516
91,seq_91,31.0,0.5081967213114754,28.0,0.4666666666666667
92,seq_92,36.0,0.5454545454545454,28.0,0.45901639344262296
93,seq_93,42.0,0.7,39.0,0.65
94,seq_94,40.0,0.6451612903225806,35.0,0.5645161290322581
95,seq_95,39.0,0.639344262295082,36.0,0.5901639344262295
96,seq_96,38.0,0.6031746031746031,33.0,0.532258064516129
97,seq_97,36.0,0.5901639344262295,30.0,0.4918032786885246
98,seq_98,35.0,0.5833333333333334,33.0,0.55
99,seq_99,39.0,0.6290322580645161,35.0,0.5645161290322581
