,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,9.0,0.13636363636363635,9.0,0.13636363636363635
1,seq_1,7.0,0.10606060606060606,7.0,0.10606060606060606
2,seq_2,9.0,0.13636363636363635,9.0,0.13636363636363635
3,seq_3,11.0,0.16666666666666666,11.0,0.16666666666666666
4,seq_4,16.0,0.22535211267605634,16.0,0.22535211267605634
5,seq_5,10.0,0.15151515151515152,10.0,0.15151515151515152
6,seq_6,9.0,0.13636363636363635,9.0,0.13636363636363635
7,seq_7,13.0,0.19696969696969696,13.0,0.19696969696969696
8,seq_8,9.0,0.13636363636363635,9.0,0.13636363636363635
9,seq_9,11.0,0.16666666666666666,11.0,0.16666666666666666
10,seq_10,12.0,0.18181818181818182,12.0,0.18181818181818182
11,seq_11,12.0,0.18181818181818182,12.0,0.18181818181818182
12,seq_12,8.0,0.12121212121212122,8.0,0.12121212121212122
13,seq_13,11.0,0.16666666666666666,11.0,0.16666666666666666
14,seq_14,12.0,0.18181818181818182,12.0,0.18181818181818182
15,seq_15,3.0,0.045454545454545456,3.0,0.045454545454545456
16,seq_16,13.0,0.19696969696969696,13.0,0.19696969696969696
17,seq_17,7.0,0.10606060606060606,7.0,0.10606060606060606
18,seq_18,8.0,0.12121212121212122,8.0,0.12121212121212122
19,seq_19,12.0,0.18181818181818182,12.0,0.18181818181818182
20,seq_20,13.0,0.19696969696969696,13.0,0.19696969696969696
21,seq_21,9.0,0.13636363636363635,9.0,0.13636363636363635
22,seq_22,10.0,0.15151515151515152,10.0,0.15151515151515152
23,seq_23,11.0,0.16666666666666666,11.0,0.16666666666666666
24,seq_24,11.0,0.16666666666666666,11.0,0.16666666666666666
25,seq_25,11.0,0.16666666666666666,11.0,0.16666666666666666
26,seq_26,7.0,0.10606060606060606,7.0,0.10606060606060606
27,seq_27,9.0,0.13636363636363635,9.0,0.13636363636363635
28,seq_28,8.0,0.12121212121212122,8.0,0.12121212121212122
29,seq_29,9.0,0.13636363636363635,9.0,0.13636363636363635
30,seq_30,12.0,0.18181818181818182,12.0,0.18181818181818182
31,seq_31,7.0,0.10606060606060606,7.0,0.10606060606060606
32,seq_32,14.0,0.21212121212121213,14.0,0.21212121212121213
33,seq_33,10.0,0.15151515151515152,10.0,0.15151515151515152
34,seq_34,8.0,0.12121212121212122,8.0,0.12121212121212122
35,seq_35,7.0,0.10606060606060606,7.0,0.10606060606060606
36,seq_36,16.0,0.22535211267605634,16.0,0.22535211267605634
37,seq_37,8.0,0.12121212121212122,8.0,0.12121212121212122
38,seq_38,9.0,0.13636363636363635,9.0,0.13636363636363635
39,seq_39,14.0,0.21212121212121213,14.0,0.21212121212121213
40,seq_40,8.0,0.12121212121212122,8.0,0.12121212121212122
41,seq_41,13.0,0.19696969696969696,13.0,0.19696969696969696
42,seq_42,13.0,0.19696969696969696,13.0,0.19696969696969696
43,seq_43,12.0,0.18181818181818182,12.0,0.18181818181818182
44,seq_44,9.0,0.13636363636363635,9.0,0.13636363636363635
45,seq_45,14.0,0.21212121212121213,14.0,0.21212121212121213
46,seq_46,8.0,0.12121212121212122,8.0,0.12121212121212122
47,seq_47,11.0,0.16666666666666666,11.0,0.16666666666666666
48,seq_48,9.0,0.13636363636363635,9.0,0.13636363636363635
49,seq_49,10.0,0.15151515151515152,10.0,0.15151515151515152
50,seq_50,13.0,0.19696969696969696,13.0,0.19696969696969696
51,seq_51,12.0,0.18181818181818182,12.0,0.18181818181818182
52,seq_52,12.0,0.18181818181818182,12.0,0.18181818181818182
53,seq_53,13.0,0.19696969696969696,13.0,0.19696969696969696
54,seq_54,8.0,0.12121212121212122,8.0,0.12121212121212122
55,seq_55,14.0,0.21212121212121213,14.0,0.21212121212121213
56,seq_56,8.0,0.12121212121212122,8.0,0.12121212121212122
57,seq_57,9.0,0.13636363636363635,9.0,0.13636363636363635
58,seq_58,24.0,0.3037974683544304,24.0,0.3037974683544304
59,seq_59,13.0,0.19696969696969696,13.0,0.19696969696969696
60,seq_60,12.0,0.18181818181818182,12.0,0.18181818181818182
61,seq_61,11.0,0.16666666666666666,11.0,0.16666666666666666
62,seq_62,13.0,0.19696969696969696,13.0,0.19696969696969696
63,seq_63,11.0,0.16666666666666666,11.0,0.16666666666666666
64,seq_64,24.0,0.3037974683544304,24.0,0.3037974683544304
65,seq_65,11.0,0.16666666666666666,11.0,0.16666666666666666
66,seq_66,12.0,0.18181818181818182,12.0,0.18181818181818182
67,seq_67,10.0,0.15151515151515152,10.0,0.15151515151515152
68,seq_68,8.0,0.12121212121212122,8.0,0.12121212121212122
69,seq_69,14.0,0.21212121212121213,14.0,0.21212121212121213
70,seq_70,14.0,0.21212121212121213,14.0,0.21212121212121213
71,seq_71,12.0,0.18181818181818182,12.0,0.18181818181818182
72,seq_72,8.0,0.12121212121212122,8.0,0.12121212121212122
73,seq_73,9.0,0.13636363636363635,9.0,0.13636363636363635
74,seq_74,9.0,0.13636363636363635,9.0,0.13636363636363635
75,seq_75,9.0,0.13636363636363635,9.0,0.13636363636363635
76,seq_76,13.0,0.19696969696969696,13.0,0.19696969696969696
77,seq_77,11.0,0.16666666666666666,11.0,0.16666666666666666
78,seq_78,13.0,0.19696969696969696,13.0,0.19696969696969696
79,seq_79,8.0,0.12121212121212122,8.0,0.12121212121212122
