,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,13.0,0.19696969696969696,13.0,0.19696969696969696
1,seq_1,13.0,0.19696969696969696,13.0,0.19696969696969696
2,seq_2,13.0,0.19696969696969696,13.0,0.19696969696969696
3,seq_3,8.0,0.12121212121212122,8.0,0.12121212121212122
4,seq_4,17.0,0.25757575757575757,17.0,0.25757575757575757
5,seq_5,14.0,0.21212121212121213,14.0,0.21212121212121213
6,seq_6,12.0,0.18181818181818182,12.0,0.18181818181818182
7,seq_7,13.0,0.19696969696969696,13.0,0.19696969696969696
8,seq_8,9.0,0.13636363636363635,9.0,0.13636363636363635
9,seq_9,11.0,0.16666666666666666,11.0,0.16666666666666666
10,seq_10,17.0,0.25757575757575757,17.0,0.25757575757575757
11,seq_11,14.0,0.21212121212121213,14.0,0.21212121212121213
12,seq_12,13.0,0.19696969696969696,13.0,0.19696969696969696
13,seq_13,15.0,0.22727272727272727,15.0,0.22727272727272727
14,seq_14,12.0,0.18181818181818182,12.0,0.18181818181818182
15,seq_15,15.0,0.22727272727272727,15.0,0.22727272727272727
16,seq_16,23.0,0.3484848484848485,23.0,0.3484848484848485
17,seq_17,21.0,0.3181818181818182,21.0,0.3181818181818182
18,seq_18,11.0,0.16666666666666666,11.0,0.16666666666666666
19,seq_19,11.0,0.16666666666666666,11.0,0.16666666666666666
20,seq_20,17.0,0.25757575757575757,17.0,0.25757575757575757
21,seq_21,19.0,0.2878787878787879,19.0,0.2878787878787879
22,seq_22,11.0,0.16666666666666666,11.0,0.16666666666666666
23,seq_23,16.0,0.24242424242424243,16.0,0.24242424242424243
24,seq_24,11.0,0.16666666666666666,11.0,0.16666666666666666
25,seq_25,23.0,0.3484848484848485,23.0,0.3484848484848485
26,seq_26,16.0,0.24242424242424243,16.0,0.24242424242424243
27,seq_27,17.0,0.25757575757575757,17.0,0.25757575757575757
28,seq_28,13.0,0.19696969696969696,13.0,0.19696969696969696
29,seq_29,15.0,0.22727272727272727,15.0,0.22727272727272727
30,seq_30,12.0,0.18181818181818182,12.0,0.18181818181818182
31,seq_31,12.0,0.18181818181818182,12.0,0.18181818181818182
32,seq_32,8.0,0.12121212121212122,8.0,0.12121212121212122
33,seq_33,23.0,0.3484848484848485,23.0,0.3484848484848485
34,seq_34,9.0,0.13636363636363635,9.0,0.13636363636363635
35,seq_35,21.0,0.3181818181818182,21.0,0.3181818181818182
36,seq_36,31.0,0.3780487804878049,31.0,0.3780487804878049
37,seq_37,14.0,0.21212121212121213,14.0,0.21212121212121213
38,seq_38,20.0,0.30303030303030304,20.0,0.30303030303030304
39,seq_39,18.0,0.2727272727272727,18.0,0.2727272727272727
40,seq_40,14.0,0.21212121212121213,14.0,0.21212121212121213
41,seq_41,12.0,0.18181818181818182,12.0,0.18181818181818182
42,seq_42,11.0,0.16666666666666666,11.0,0.16666666666666666
43,seq_43,13.0,0.19696969696969696,13.0,0.19696969696969696
44,seq_44,15.0,0.22727272727272727,15.0,0.22727272727272727
45,seq_45,15.0,0.22727272727272727,15.0,0.22727272727272727
46,seq_46,18.0,0.2727272727272727,18.0,0.2727272727272727
47,seq_47,15.0,0.22727272727272727,15.0,0.22727272727272727
48,seq_48,17.0,0.25757575757575757,17.0,0.25757575757575757
49,seq_49,17.0,0.25757575757575757,17.0,0.25757575757575757
50,seq_50,11.0,0.16666666666666666,11.0,0.16666666666666666
51,seq_51,12.0,0.18181818181818182,12.0,0.18181818181818182
52,seq_52,18.0,0.2727272727272727,18.0,0.2727272727272727
53,seq_53,13.0,0.19696969696969696,13.0,0.19696969696969696
54,seq_54,13.0,0.19696969696969696,13.0,0.19696969696969696
55,seq_55,8.0,0.12121212121212122,8.0,0.12121212121212122
56,seq_56,14.0,0.21212121212121213,14.0,0.21212121212121213
57,seq_57,19.0,0.2878787878787879,19.0,0.2878787878787879
58,seq_58,10.0,0.15151515151515152,10.0,0.15151515151515152
59,seq_59,14.0,0.21212121212121213,14.0,0.21212121212121213
60,seq_60,19.0,0.2878787878787879,19.0,0.2878787878787879
61,seq_61,21.0,0.3181818181818182,21.0,0.3181818181818182
62,seq_62,10.0,0.15151515151515152,10.0,0.15151515151515152
63,seq_63,11.0,0.16666666666666666,11.0,0.16666666666666666
64,seq_64,24.0,0.36363636363636365,24.0,0.36363636363636365
65,seq_65,20.0,0.30303030303030304,20.0,0.30303030303030304
66,seq_66,17.0,0.25757575757575757,17.0,0.25757575757575757
67,seq_67,12.0,0.18181818181818182,12.0,0.18181818181818182
68,seq_68,13.0,0.19696969696969696,13.0,0.19696969696969696
69,seq_69,20.0,0.30303030303030304,20.0,0.30303030303030304
70,seq_70,14.0,0.21212121212121213,14.0,0.21212121212121213
71,seq_71,17.0,0.25757575757575757,17.0,0.25757575757575757
72,seq_72,21.0,0.3181818181818182,21.0,0.3181818181818182
73,seq_73,10.0,0.15151515151515152,10.0,0.15151515151515152
74,seq_74,12.0,0.18181818181818182,12.0,0.18181818181818182
75,seq_75,20.0,0.30303030303030304,20.0,0.30303030303030304
76,seq_76,11.0,0.16666666666666666,11.0,0.16666666666666666
77,seq_77,9.0,0.13636363636363635,9.0,0.13636363636363635
78,seq_78,17.0,0.25757575757575757,17.0,0.25757575757575757
79,seq_79,12.0,0.18181818181818182,12.0,0.18181818181818182
80,seq_80,15.0,0.22727272727272727,15.0,0.22727272727272727
81,seq_81,18.0,0.2727272727272727,18.0,0.2727272727272727
82,seq_82,23.0,0.3484848484848485,23.0,0.3484848484848485
83,seq_83,9.0,0.13636363636363635,9.0,0.13636363636363635
