,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,8.0,0.13114754098360656,4.0,0.06557377049180328
1,seq_1,23.0,0.3709677419354839,20.0,0.32786885245901637
2,seq_2,39.0,0.6290322580645161,35.0,0.5645161290322581
3,seq_3,22.0,0.36065573770491804,17.0,0.2833333333333333
4,seq_4,14.0,0.22950819672131148,5.0,0.08333333333333333
5,seq_5,12.0,0.19672131147540983,8.0,0.13333333333333333
6,seq_6,14.0,0.22950819672131148,10.0,0.16666666666666666
7,seq_7,16.0,0.26229508196721313,5.0,0.08333333333333333
8,seq_8,18.0,0.29508196721311475,16.0,0.26229508196721313
9,seq_9,18.0,0.29508196721311475,14.0,0.23333333333333334
10,seq_10,25.0,0.4098360655737705,18.0,0.3
11,seq_11,26.0,0.41935483870967744,24.0,0.3870967741935484
12,seq_12,14.0,0.22950819672131148,6.0,0.1
13,seq_13,41.0,0.6612903225806451,36.0,0.5806451612903226
14,seq_14,2.0,0.03278688524590164,1.0,0.016666666666666666
15,seq_15,23.0,0.3770491803278688,19.0,0.3114754098360656
16,seq_16,30.0,0.4918032786885246,28.0,0.4666666666666667
17,seq_17,22.0,0.36065573770491804,19.0,0.3114754098360656
18,seq_18,22.0,0.3548387096774194,19.0,0.31666666666666665
19,seq_19,39.0,0.6290322580645161,38.0,0.6129032258064516
20,seq_20,12.0,0.19672131147540983,6.0,0.1
21,seq_21,21.0,0.3442622950819672,16.0,0.26666666666666666
22,seq_22,21.0,0.3442622950819672,16.0,0.26666666666666666
23,seq_23,13.0,0.21311475409836064,10.0,0.16666666666666666
24,seq_24,6.0,0.09836065573770492,1.0,0.016666666666666666
25,seq_25,15.0,0.2459016393442623,7.0,0.11666666666666667
26,seq_26,42.0,0.6774193548387096,41.0,0.6612903225806451
27,seq_27,33.0,0.5076923076923077,30.0,0.46153846153846156
28,seq_28,23.0,0.3709677419354839,17.0,0.27419354838709675
29,seq_29,23.0,0.3709677419354839,13.0,0.21666666666666667
30,seq_30,10.0,0.16393442622950818,7.0,0.11666666666666667
31,seq_31,20.0,0.32786885245901637,17.0,0.2786885245901639
32,seq_32,23.0,0.3770491803278688,15.0,0.25
33,seq_33,21.0,0.3442622950819672,15.0,0.2459016393442623
34,seq_34,38.0,0.6229508196721312,36.0,0.5901639344262295
35,seq_35,19.0,0.3114754098360656,13.0,0.21666666666666667
36,seq_36,6.0,0.09836065573770492,2.0,0.03333333333333333
37,seq_37,19.0,0.3114754098360656,14.0,0.23333333333333334
38,seq_38,12.0,0.19672131147540983,7.0,0.11666666666666667
39,seq_39,12.0,0.19672131147540983,4.0,0.06666666666666667
40,seq_40,13.0,0.21311475409836064,4.0,0.06666666666666667
41,seq_41,25.0,0.4098360655737705,21.0,0.3442622950819672
42,seq_42,14.0,0.22950819672131148,9.0,0.15
43,seq_43,14.0,0.22950819672131148,6.0,0.1
44,seq_44,18.0,0.29508196721311475,16.0,0.26666666666666666
45,seq_45,23.0,0.3770491803278688,19.0,0.31666666666666665
46,seq_46,6.0,0.09836065573770492,4.0,0.06666666666666667
47,seq_47,14.0,0.22950819672131148,2.0,0.03333333333333333
48,seq_48,12.0,0.19672131147540983,4.0,0.06557377049180328
49,seq_49,12.0,0.19672131147540983,5.0,0.08333333333333333
50,seq_50,21.0,0.3442622950819672,13.0,0.21666666666666667
51,seq_51,5.0,0.08196721311475409,3.0,0.05
52,seq_52,19.0,0.3114754098360656,13.0,0.21311475409836064
53,seq_53,14.0,0.22950819672131148,6.0,0.1
54,seq_54,25.0,0.4098360655737705,24.0,0.39344262295081966
55,seq_55,5.0,0.08196721311475409,1.0,0.01639344262295082
56,seq_56,17.0,0.2786885245901639,11.0,0.18333333333333332
57,seq_57,21.0,0.3387096774193548,16.0,0.26666666666666666
58,seq_58,20.0,0.32786885245901637,14.0,0.23333333333333334
59,seq_59,26.0,0.41935483870967744,21.0,0.3387096774193548
60,seq_60,28.0,0.4375,21.0,0.3387096774193548
61,seq_61,34.0,0.5483870967741935,30.0,0.5
62,seq_62,5.0,0.08196721311475409,3.0,0.05
63,seq_63,39.0,0.5909090909090909,37.0,0.5606060606060606
64,seq_64,20.0,0.32786885245901637,12.0,0.2
65,seq_65,19.0,0.3114754098360656,17.0,0.2833333333333333
66,seq_66,11.0,0.18032786885245902,5.0,0.08333333333333333
67,seq_67,14.0,0.22950819672131148,7.0,0.11666666666666667
68,seq_68,12.0,0.19672131147540983,10.0,0.16666666666666666
69,seq_69,32.0,0.5161290322580645,25.0,0.4166666666666667
70,seq_70,17.0,0.2786885245901639,10.0,0.16666666666666666
71,seq_71,34.0,0.5483870967741935,29.0,0.46774193548387094
72,seq_72,9.0,0.14754098360655737,7.0,0.11666666666666667
73,seq_73,14.0,0.22950819672131148,6.0,0.1
74,seq_74,17.0,0.2786885245901639,9.0,0.15
75,seq_75,11.0,0.18032786885245902,5.0,0.08333333333333333
76,seq_76,21.0,0.3442622950819672,16.0,0.26229508196721313
77,seq_77,19.0,0.3114754098360656,6.0,0.1
78,seq_78,9.0,0.14754098360655737,3.0,0.05
79,seq_79,27.0,0.4426229508196721,26.0,0.4262295081967213
80,seq_80,23.0,0.3709677419354839,13.0,0.21311475409836064
81,seq_81,6.0,0.09836065573770492,5.0,0.08333333333333333
82,seq_82,7.0,0.11475409836065574,5.0,0.08333333333333333
83,seq_83,44.0,0.7096774193548387,41.0,0.6612903225806451
84,seq_84,4.0,0.06557377049180328,3.0,0.05
85,seq_85,12.0,0.19672131147540983,9.0,0.15
86,seq_86,15.0,0.2459016393442623,7.0,0.11666666666666667
87,seq_87,13.0,0.21311475409836064,6.0,0.1
88,seq_88,34.0,0.5573770491803278,31.0,0.5081967213114754
89,seq_89,10.0,0.16393442622950818,4.0,0.06666666666666667
90,seq_90,14.0,0.22950819672131148,5.0,0.08333333333333333
91,seq_91,15.0,0.2459016393442623,8.0,0.13333333333333333
92,seq_92,38.0,0.6129032258064516,36.0,0.5806451612903226
93,seq_93,17.0,0.2786885245901639,10.0,0.16666666666666666
94,seq_94,24.0,0.39344262295081966,15.0,0.25
95,seq_95,12.0,0.19672131147540983,7.0,0.11666666666666667
96,seq_96,17.0,0.2786885245901639,11.0,0.18333333333333332
97,seq_97,6.0,0.09836065573770492,4.0,0.06666666666666667
98,seq_98,11.0,0.18032786885245902,6.0,0.1
99,seq_99,22.0,0.36065573770491804,17.0,0.2833333333333333
