name,RMSD,TMscore,ID
id_58_unrelaxed_rank_5_model_3,2.88,0.37608,0.265
id_62_unrelaxed_rank_1_model_3,2.48,0.69987,0.304
id_11_unrelaxed_rank_4_model_2,1.52,0.39456,0.075
id_76_unrelaxed_rank_2_model_4,1.85,0.79656,0.225
id_96_unrelaxed_rank_2_model_4,1.62,0.79975,0.214
id_63_unrelaxed_rank_5_model_2,1.86,0.82153,0.247
id_33_unrelaxed_rank_2_model_5,2.64,0.48633,0.121
id_24_unrelaxed_rank_4_model_5,1.65,0.85889,0.18
id_62_unrelaxed_rank_3_model_5,2.51,0.74305,0.296
id_93_unrelaxed_rank_3_model_5,3.34,0.47427,0.123
id_71_unrelaxed_rank_4_model_5,1.35,0.8452,0.256
id_75_unrelaxed_rank_3_model_1,4.34,0.30071,0.077
id_69_unrelaxed_rank_4_model_5,1.33,0.8619,0.267
id_97_unrelaxed_rank_2_model_1,1.97,0.75765,0.244
id_60_unrelaxed_rank_4_model_2,2.33,0.50043,0.098
id_42_unrelaxed_rank_4_model_5,3.24,0.46051,0.105
id_70_unrelaxed_rank_4_model_1,3.81,0.36128,0.122
id_48_unrelaxed_rank_5_model_5,1.61,0.80807,0.218
id_76_unrelaxed_rank_4_model_1,1.51,0.84748,0.225
id_28_unrelaxed_rank_2_model_2,3.19,0.3306,0.119
id_20_unrelaxed_rank_4_model_1,1.75,0.83302,0.253
id_85_unrelaxed_rank_5_model_2,3.78,0.43934,0.107
id_55_unrelaxed_rank_1_model_3,3.6,0.443,0.188
id_90_unrelaxed_rank_5_model_3,3.96,0.37969,0.16
id_34_unrelaxed_rank_3_model_5,1.41,0.89034,0.278
id_81_unrelaxed_rank_2_model_3,1.49,0.84871,0.193
id_86_unrelaxed_rank_2_model_4,1.73,0.41626,0.1
id_25_unrelaxed_rank_2_model_5,1.21,0.84898,0.305
id_48_unrelaxed_rank_2_model_1,1.21,0.84284,0.192
id_92_unrelaxed_rank_2_model_3,1.54,0.82347,0.212
id_31_unrelaxed_rank_1_model_5,3.2,0.41406,0.019
id_80_unrelaxed_rank_2_model_3,4.16,0.41121,0.104
id_18_unrelaxed_rank_1_model_3,1.74,0.80957,0.198
id_75_unrelaxed_rank_1_model_3,3.62,0.33273,0.13
id_91_unrelaxed_rank_3_model_1,2.15,0.74574,0.233
id_67_unrelaxed_rank_2_model_5,1.53,0.84281,0.188
id_39_unrelaxed_rank_2_model_4,1.03,0.9029,0.27
id_61_unrelaxed_rank_2_model_4,3.22,0.5249,0.234
id_13_unrelaxed_rank_4_model_5,1.47,0.41549,0.05
id_15_unrelaxed_rank_2_model_3,2.3,0.72797,0.207
id_22_unrelaxed_rank_1_model_5,3.26,0.61022,0.193
id_53_unrelaxed_rank_3_model_1,2.14,0.87354,0.289
