,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,7.0,0.10606060606060606,7.0,0.10606060606060606
1,seq_1,7.0,0.10606060606060606,7.0,0.10606060606060606
2,seq_2,8.0,0.12121212121212122,8.0,0.12121212121212122
3,seq_3,8.0,0.12121212121212122,8.0,0.12121212121212122
4,seq_4,7.0,0.10606060606060606,7.0,0.10606060606060606
5,seq_5,8.0,0.12121212121212122,8.0,0.12121212121212122
6,seq_6,7.0,0.10606060606060606,7.0,0.10606060606060606
7,seq_7,8.0,0.12121212121212122,8.0,0.12121212121212122
8,seq_8,7.0,0.10606060606060606,7.0,0.10606060606060606
9,seq_9,8.0,0.12121212121212122,8.0,0.12121212121212122
10,seq_10,7.0,0.10606060606060606,7.0,0.10606060606060606
11,seq_11,8.0,0.12121212121212122,8.0,0.12121212121212122
12,seq_12,6.0,0.09090909090909091,6.0,0.09090909090909091
13,seq_13,8.0,0.12121212121212122,8.0,0.12121212121212122
14,seq_14,7.0,0.10606060606060606,7.0,0.10606060606060606
15,seq_15,7.0,0.10606060606060606,7.0,0.10606060606060606
16,seq_16,7.0,0.10606060606060606,7.0,0.10606060606060606
17,seq_17,8.0,0.12121212121212122,8.0,0.12121212121212122
18,seq_18,7.0,0.10606060606060606,7.0,0.10606060606060606
19,seq_19,5.0,0.07575757575757576,5.0,0.07575757575757576
20,seq_20,8.0,0.12121212121212122,8.0,0.12121212121212122
21,seq_21,8.0,0.12121212121212122,8.0,0.12121212121212122
22,seq_22,7.0,0.10606060606060606,7.0,0.10606060606060606
23,seq_23,7.0,0.10606060606060606,7.0,0.10606060606060606
24,seq_24,7.0,0.10606060606060606,7.0,0.10606060606060606
25,seq_25,8.0,0.12121212121212122,8.0,0.12121212121212122
26,seq_26,6.0,0.09090909090909091,6.0,0.09090909090909091
27,seq_27,5.0,0.07575757575757576,5.0,0.07575757575757576
28,seq_28,5.0,0.07575757575757576,5.0,0.07575757575757576
29,seq_29,8.0,0.12121212121212122,8.0,0.12121212121212122
30,seq_30,9.0,0.13636363636363635,9.0,0.13636363636363635
31,seq_31,8.0,0.12121212121212122,8.0,0.12121212121212122
32,seq_32,8.0,0.12121212121212122,8.0,0.12121212121212122
33,seq_33,7.0,0.10606060606060606,7.0,0.10606060606060606
34,seq_34,7.0,0.10606060606060606,7.0,0.10606060606060606
35,seq_35,5.0,0.07575757575757576,5.0,0.07575757575757576
36,seq_36,8.0,0.12121212121212122,8.0,0.12121212121212122
37,seq_37,6.0,0.09090909090909091,6.0,0.09090909090909091
38,seq_38,7.0,0.10606060606060606,7.0,0.10606060606060606
39,seq_39,6.0,0.09090909090909091,6.0,0.09090909090909091
40,seq_40,8.0,0.12121212121212122,8.0,0.12121212121212122
41,seq_41,8.0,0.12121212121212122,8.0,0.12121212121212122
42,seq_42,8.0,0.12121212121212122,8.0,0.12121212121212122
43,seq_43,7.0,0.10606060606060606,7.0,0.10606060606060606
44,seq_44,10.0,0.15151515151515152,10.0,0.15151515151515152
45,seq_45,9.0,0.13636363636363635,9.0,0.13636363636363635
46,seq_46,8.0,0.12121212121212122,8.0,0.12121212121212122
47,seq_47,8.0,0.12121212121212122,8.0,0.12121212121212122
48,seq_48,6.0,0.09090909090909091,6.0,0.09090909090909091
49,seq_49,5.0,0.07575757575757576,5.0,0.07575757575757576
50,seq_50,8.0,0.12121212121212122,8.0,0.12121212121212122
51,seq_51,8.0,0.12121212121212122,8.0,0.12121212121212122
52,seq_52,7.0,0.10606060606060606,7.0,0.10606060606060606
53,seq_53,8.0,0.12121212121212122,8.0,0.12121212121212122
54,seq_54,6.0,0.09090909090909091,6.0,0.09090909090909091
55,seq_55,7.0,0.10606060606060606,7.0,0.10606060606060606
56,seq_56,8.0,0.12121212121212122,8.0,0.12121212121212122
57,seq_57,7.0,0.10606060606060606,7.0,0.10606060606060606
58,seq_58,10.0,0.15151515151515152,10.0,0.15151515151515152
59,seq_59,6.0,0.09090909090909091,6.0,0.09090909090909091
60,seq_60,8.0,0.12121212121212122,8.0,0.12121212121212122
61,seq_61,6.0,0.09090909090909091,6.0,0.09090909090909091
62,seq_62,8.0,0.12121212121212122,8.0,0.12121212121212122
63,seq_63,7.0,0.10606060606060606,7.0,0.10606060606060606
64,seq_64,8.0,0.12121212121212122,8.0,0.12121212121212122
65,seq_65,6.0,0.09090909090909091,6.0,0.09090909090909091
66,seq_66,8.0,0.12121212121212122,8.0,0.12121212121212122
67,seq_67,6.0,0.09090909090909091,6.0,0.09090909090909091
68,seq_68,8.0,0.12121212121212122,8.0,0.12121212121212122
69,seq_69,10.0,0.15151515151515152,10.0,0.15151515151515152
70,seq_70,7.0,0.10606060606060606,7.0,0.10606060606060606
71,seq_71,7.0,0.10606060606060606,7.0,0.10606060606060606
72,seq_72,8.0,0.12121212121212122,8.0,0.12121212121212122
73,seq_73,10.0,0.15151515151515152,10.0,0.15151515151515152
74,seq_74,8.0,0.12121212121212122,8.0,0.12121212121212122
75,seq_75,8.0,0.12121212121212122,8.0,0.12121212121212122
76,seq_76,8.0,0.12121212121212122,8.0,0.12121212121212122
77,seq_77,7.0,0.10606060606060606,7.0,0.10606060606060606
78,seq_78,8.0,0.12121212121212122,8.0,0.12121212121212122
79,seq_79,7.0,0.10606060606060606,7.0,0.10606060606060606
80,seq_80,8.0,0.12121212121212122,8.0,0.12121212121212122
81,seq_81,8.0,0.12121212121212122,8.0,0.12121212121212122
82,seq_82,7.0,0.10606060606060606,7.0,0.10606060606060606
83,seq_83,7.0,0.10606060606060606,7.0,0.10606060606060606
84,seq_84,8.0,0.12121212121212122,8.0,0.12121212121212122
85,seq_85,9.0,0.13636363636363635,9.0,0.13636363636363635
86,seq_86,8.0,0.12121212121212122,8.0,0.12121212121212122
87,seq_87,7.0,0.10606060606060606,7.0,0.10606060606060606
88,seq_88,8.0,0.12121212121212122,8.0,0.12121212121212122
89,seq_89,6.0,0.09090909090909091,6.0,0.09090909090909091
90,seq_90,9.0,0.13636363636363635,9.0,0.13636363636363635
91,seq_91,9.0,0.13636363636363635,9.0,0.13636363636363635
92,seq_92,7.0,0.10606060606060606,7.0,0.10606060606060606
93,seq_93,7.0,0.10606060606060606,7.0,0.10606060606060606
94,seq_94,8.0,0.12121212121212122,8.0,0.12121212121212122
95,seq_95,6.0,0.09090909090909091,6.0,0.09090909090909091
96,seq_96,8.0,0.12121212121212122,8.0,0.12121212121212122
97,seq_97,8.0,0.12121212121212122,8.0,0.12121212121212122
