name,RMSD,TMscore,ID
id_62_unrelaxed_rank_1_model_3,3.56,0.27413,0.108
id_11_unrelaxed_rank_4_model_2,1.46,0.89035,0.224
id_52_unrelaxed_rank_2_model_4,2.3,0.75214,0.208
id_76_unrelaxed_rank_1_model_3,3.63,0.39407,0.113
id_76_unrelaxed_rank_2_model_4,3.6,0.40824,0.127
id_63_unrelaxed_rank_3_model_1,3.54,0.37942,0.229
id_63_unrelaxed_rank_5_model_2,3.52,0.3976,0.077
id_13_unrelaxed_rank_5_model_3,1.62,0.81998,0.299
id_91_unrelaxed_rank_2_model_2,2.48,0.66739,0.25
id_91_unrelaxed_rank_4_model_3,1.74,0.76856,0.244
id_24_unrelaxed_rank_4_model_5,1.44,0.87314,0.225
id_21_unrelaxed_rank_1_model_4,2.47,0.69546,0.172
id_95_unrelaxed_rank_4_model_5,2.97,0.40768,0.107
id_42_unrelaxed_rank_5_model_3,3.64,0.29533,0.045
id_53_unrelaxed_rank_3_model_3,2.15,0.82243,0.278
id_87_unrelaxed_rank_4_model_5,3.38,0.43822,0.115
id_67_unrelaxed_rank_4_model_1,1.38,0.85167,0.222
id_13_unrelaxed_rank_3_model_5,1.56,0.81846,0.299
id_46_unrelaxed_rank_3_model_3,2.83,0.64616,0.193
id_43_unrelaxed_rank_3_model_2,2.01,0.78146,0.253
id_87_unrelaxed_rank_5_model_4,2.72,0.50965,0.145
id_23_unrelaxed_rank_2_model_5,3.46,0.46688,0.222
id_47_unrelaxed_rank_2_model_2,3.64,0.47548,0.078
id_8_unrelaxed_rank_3_model_1,3.77,0.59345,0.238
id_41_unrelaxed_rank_1_model_5,1.96,0.80113,0.169
id_92_unrelaxed_rank_1_model_3,2.84,0.38742,0.087
id_76_unrelaxed_rank_4_model_1,3.61,0.42563,0.132
id_85_unrelaxed_rank_5_model_2,1.89,0.83521,0.213
id_55_unrelaxed_rank_1_model_3,2.93,0.37379,0.089
id_86_unrelaxed_rank_2_model_4,4.1,0.38053,0.036
id_57_unrelaxed_rank_1_model_3,3.08,0.38955,0.068
id_53_unrelaxed_rank_1_model_5,1.62,0.8292,0.284
id_9_unrelaxed_rank_1_model_3,3.73,0.41924,0.111
id_0_unrelaxed_rank_5_model_4,3.34,0.42247,0.082
id_67_unrelaxed_rank_2_model_5,1.23,0.87006,0.222
id_58_unrelaxed_rank_2_model_5,1.06,0.88935,0.374
id_71_unrelaxed_rank_4_model_1,3.64,0.41515,0.115
id_51_unrelaxed_rank_2_model_5,2.42,0.79852,0.233
id_34_unrelaxed_rank_4_model_4,1.84,0.79917,0.225
id_63_unrelaxed_rank_4_model_5,2.41,0.44804,0.321
id_41_unrelaxed_rank_4_model_3,1.8,0.7965,0.169
id_18_unrelaxed_rank_1_model_5,4.03,0.41423,0.149
id_79_unrelaxed_rank_3_model_5,3.26,0.42244,0.038
id_72_unrelaxed_rank_4_model_5,1.46,0.84944,0.221
id_9_unrelaxed_rank_3_model_5,3.8,0.39304,0.12
id_76_unrelaxed_rank_5_model_2,3.59,0.43193,0.132
id_2_unrelaxed_rank_5_model_5,2.2,0.77729,0.244
id_43_unrelaxed_rank_1_model_4,2.17,0.77879,0.25
id_55_unrelaxed_rank_4_model_5,2.95,0.39054,0.083
id_75_unrelaxed_rank_2_model_3,1.87,0.82388,0.303
id_81_unrelaxed_rank_2_model_5,0.85,0.90349,0.304
id_92_unrelaxed_rank_5_model_4,2.85,0.34544,0.119
id_50_unrelaxed_rank_5_model_2,3.55,0.40887,0.036
id_53_unrelaxed_rank_5_model_2,2.0,0.82096,0.281
id_94_unrelaxed_rank_4_model_5,3.68,0.48912,0.077
id_27_unrelaxed_rank_1_model_2,1.74,0.39352,0.075
id_42_unrelaxed_rank_3_model_1,3.35,0.5594,0.101
id_20_unrelaxed_rank_4_model_5,3.07,0.45006,0.111
id_38_unrelaxed_rank_3_model_5,3.73,0.3877,0.074
id_57_unrelaxed_rank_3_model_2,2.77,0.39778,0.044
id_78_unrelaxed_rank_4_model_5,1.27,0.86901,0.25
id_18_unrelaxed_rank_3_model_4,4.2,0.38273,0.107
id_68_unrelaxed_rank_4_model_1,3.2,0.44971,0.153
id_54_unrelaxed_rank_5_model_2,3.93,0.40989,0.143
id_59_unrelaxed_rank_2_model_1,1.11,0.88849,0.344
id_91_unrelaxed_rank_1_model_1,2.26,0.72431,0.235
id_33_unrelaxed_rank_3_model_5,4.05,0.48374,0.123
id_99_unrelaxed_rank_2_model_4,1.59,0.84046,0.233
id_35_unrelaxed_rank_4_model_5,1.98,0.80571,0.233
id_16_unrelaxed_rank_3_model_3,1.42,0.83308,0.253
id_30_unrelaxed_rank_4_model_1,4.16,0.36149,0.153
id_87_unrelaxed_rank_1_model_3,3.43,0.46618,0.123
id_81_unrelaxed_rank_3_model_1,0.97,0.88969,0.304
id_4_unrelaxed_rank_2_model_4,2.96,0.67762,0.198
id_62_unrelaxed_rank_4_model_4,3.47,0.30306,0.068
id_55_unrelaxed_rank_5_model_2,2.78,0.38491,0.091
id_20_unrelaxed_rank_5_model_4,3.13,0.44724,0.136
id_54_unrelaxed_rank_4_model_1,3.38,0.39597,0.056
id_89_unrelaxed_rank_4_model_5,3.37,0.48978,0.136
id_25_unrelaxed_rank_3_model_1,1.11,0.40331,0.282
id_45_unrelaxed_rank_1_model_1,3.25,0.3938,0.0
id_91_unrelaxed_rank_5_model_5,1.88,0.74542,0.235
id_51_unrelaxed_rank_4_model_1,2.13,0.80046,0.244
id_56_unrelaxed_rank_1_model_5,0.95,0.42282,0.128
id_23_unrelaxed_rank_1_model_3,3.31,0.41671,0.115
id_88_unrelaxed_rank_1_model_5,1.54,0.83271,0.33
id_75_unrelaxed_rank_3_model_5,1.82,0.81761,0.284
id_64_unrelaxed_rank_5_model_5,1.93,0.78097,0.172
id_39_unrelaxed_rank_4_model_5,3.75,0.43356,0.091
id_85_unrelaxed_rank_3_model_1,1.97,0.85099,0.213
id_9_unrelaxed_rank_5_model_1,3.96,0.39666,0.115
id_61_unrelaxed_rank_2_model_5,1.01,0.91453,0.303
id_2_unrelaxed_rank_3_model_4,1.74,0.8324,0.233
id_67_unrelaxed_rank_3_model_3,1.4,0.84711,0.222
id_33_unrelaxed_rank_1_model_3,3.7,0.44704,0.125
id_31_unrelaxed_rank_2_model_5,2.65,0.6918,0.221
id_77_unrelaxed_rank_4_model_1,2.95,0.68868,0.262
id_38_unrelaxed_rank_4_model_4,3.69,0.39292,0.096
id_92_unrelaxed_rank_3_model_2,1.91,0.39557,0.225
id_60_unrelaxed_rank_3_model_4,1.81,0.78664,0.146
id_33_unrelaxed_rank_5_model_1,2.94,0.50321,0.138
id_7_unrelaxed_rank_1_model_5,2.4,0.70514,0.149
id_99_unrelaxed_rank_5_model_2,1.57,0.84486,0.233
id_14_unrelaxed_rank_3_model_4,3.79,0.37625,0.117
id_26_unrelaxed_rank_4_model_1,3.45,0.4182,0.088
id_0_unrelaxed_rank_4_model_1,3.83,0.34703,0.163
id_99_unrelaxed_rank_4_model_1,1.51,0.84974,0.233
id_67_unrelaxed_rank_5_model_2,1.37,0.85427,0.222
id_69_unrelaxed_rank_2_model_5,1.66,0.83991,0.233
id_66_unrelaxed_rank_1_model_5,1.72,0.37391,0.077
id_39_unrelaxed_rank_5_model_2,3.21,0.43639,0.077
id_93_unrelaxed_rank_2_model_3,1.64,0.8292,0.222
id_61_unrelaxed_rank_4_model_1,1.13,0.88763,0.307
id_88_unrelaxed_rank_5_model_2,1.61,0.83088,0.326
id_12_unrelaxed_rank_5_model_2,1.45,0.8596,0.244
id_2_unrelaxed_rank_4_model_2,2.04,0.80389,0.244
id_48_unrelaxed_rank_4_model_5,3.19,0.55155,0.225
id_10_unrelaxed_rank_3_model_4,2.14,0.73965,0.259
id_80_unrelaxed_rank_1_model_3,3.19,0.41109,0.102
id_72_unrelaxed_rank_1_model_3,1.46,0.84204,0.221
id_50_unrelaxed_rank_3_model_5,4.07,0.45083,0.032
id_58_unrelaxed_rank_3_model_1,1.04,0.8903,0.374
id_17_unrelaxed_rank_1_model_3,2.31,0.50704,0.117
id_68_unrelaxed_rank_5_model_4,2.99,0.45617,0.211
id_40_unrelaxed_rank_1_model_1,2.84,0.43999,0.1
id_79_unrelaxed_rank_2_model_4,3.42,0.42575,0.115
id_78_unrelaxed_rank_2_model_4,1.38,0.85311,0.25
id_52_unrelaxed_rank_3_model_2,2.34,0.744,0.224
id_83_unrelaxed_rank_4_model_2,3.61,0.52706,0.043
id_13_unrelaxed_rank_4_model_2,1.74,0.81152,0.299
id_44_unrelaxed_rank_2_model_1,1.88,0.78745,0.256
id_93_unrelaxed_rank_1_model_5,1.5,0.83323,0.2
id_13_unrelaxed_rank_1_model_4,1.52,0.82728,0.299
id_84_unrelaxed_rank_2_model_5,2.25,0.73215,0.265
id_58_unrelaxed_rank_5_model_2,1.25,0.86333,0.374
id_98_unrelaxed_rank_5_model_1,4.06,0.49031,0.075
id_75_unrelaxed_rank_4_model_4,1.79,0.83294,0.303
id_78_unrelaxed_rank_5_model_2,1.38,0.85678,0.25
id_11_unrelaxed_rank_5_model_5,1.32,0.89653,0.224
id_12_unrelaxed_rank_2_model_3,1.88,0.81052,0.247
id_15_unrelaxed_rank_4_model_4,3.0,0.43257,0.25
id_4_unrelaxed_rank_1_model_3,2.22,0.72821,0.172
id_29_unrelaxed_rank_5_model_2,1.45,0.83086,0.264
id_12_unrelaxed_rank_4_model_4,1.57,0.85619,0.247
id_55_unrelaxed_rank_3_model_1,3.14,0.37049,0.068
id_90_unrelaxed_rank_4_model_5,2.02,0.75608,0.224
id_88_unrelaxed_rank_4_model_1,1.61,0.83293,0.326
id_54_unrelaxed_rank_2_model_5,4.12,0.40513,0.125
id_28_unrelaxed_rank_1_model_5,2.8,0.69238,0.185
id_28_unrelaxed_rank_2_model_3,2.24,0.75341,0.193
id_25_unrelaxed_rank_1_model_5,1.2,0.39819,0.282
id_50_unrelaxed_rank_2_model_4,3.64,0.4927,0.07
id_74_unrelaxed_rank_2_model_1,1.43,0.43841,0.075
id_73_unrelaxed_rank_4_model_2,2.91,0.64253,0.217
id_78_unrelaxed_rank_3_model_3,1.48,0.85396,0.25
id_53_unrelaxed_rank_2_model_4,1.92,0.84046,0.278
id_0_unrelaxed_rank_3_model_2,3.59,0.40563,0.109
id_41_unrelaxed_rank_3_model_1,1.75,0.80474,0.169
id_16_unrelaxed_rank_5_model_2,1.66,0.80423,0.253
id_97_unrelaxed_rank_5_model_4,1.62,0.43105,0.175
id_63_unrelaxed_rank_1_model_3,3.09,0.46273,0.102
id_34_unrelaxed_rank_1_model_3,2.5,0.70712,0.225
id_26_unrelaxed_rank_2_model_4,3.95,0.43059,0.107
id_63_unrelaxed_rank_2_model_4,3.45,0.38991,0.043
id_0_unrelaxed_rank_2_model_5,3.22,0.46197,0.183
id_19_unrelaxed_rank_4_model_1,2.86,0.40978,0.059
id_21_unrelaxed_rank_4_model_3,2.08,0.73576,0.172
id_34_unrelaxed_rank_5_model_2,2.43,0.73325,0.213
id_66_unrelaxed_rank_3_model_4,5.02,0.38497,0.066
id_86_unrelaxed_rank_5_model_2,4.0,0.41615,0.066
id_99_unrelaxed_rank_1_model_5,1.43,0.86385,0.233
id_65_unrelaxed_rank_1_model_5,1.57,0.89078,0.326
id_32_unrelaxed_rank_5_model_2,0.89,0.90462,0.286
id_88_unrelaxed_rank_2_model_3,1.83,0.81763,0.318
id_18_unrelaxed_rank_5_model_2,4.01,0.36256,0.094
id_53_unrelaxed_rank_4_model_1,1.96,0.82974,0.267
id_22_unrelaxed_rank_1_model_3,2.74,0.46562,0.179
id_3_unrelaxed_rank_5_model_2,2.17,0.74443,0.267
id_74_unrelaxed_rank_3_model_2,1.65,0.43986,0.075
id_50_unrelaxed_rank_4_model_1,3.6,0.52357,0.055
id_20_unrelaxed_rank_2_model_3,2.94,0.42945,0.098
id_1_unrelaxed_rank_5_model_2,2.37,0.79068,0.163
id_4_unrelaxed_rank_4_model_1,2.82,0.6991,0.209
id_38_unrelaxed_rank_1_model_3,3.62,0.40017,0.089
id_73_unrelaxed_rank_1_model_3,2.48,0.74086,0.2
id_52_unrelaxed_rank_5_model_5,1.94,0.77004,0.237
id_73_unrelaxed_rank_3_model_4,2.33,0.75163,0.2
id_17_unrelaxed_rank_3_model_5,2.67,0.46624,0.094
id_5_unrelaxed_rank_2_model_5,4.13,0.45156,0.154
id_59_unrelaxed_rank_1_model_4,1.08,0.89036,0.344
id_60_unrelaxed_rank_2_model_3,2.0,0.77892,0.157
id_16_unrelaxed_rank_1_model_4,1.06,0.88329,0.253
id_39_unrelaxed_rank_3_model_4,4.52,0.46668,0.127
id_93_unrelaxed_rank_3_model_4,1.53,0.83695,0.222
id_69_unrelaxed_rank_3_model_3,1.78,0.827,0.233
id_93_unrelaxed_rank_4_model_1,1.53,0.83458,0.211
id_49_unrelaxed_rank_2_model_5,3.34,0.50113,0.062
id_57_unrelaxed_rank_4_model_5,4.24,0.39535,0.019
id_97_unrelaxed_rank_1_model_5,3.0,0.44532,0.157
id_96_unrelaxed_rank_1_model_4,1.11,0.8931,0.286
id_52_unrelaxed_rank_1_model_1,2.29,0.73837,0.208
id_95_unrelaxed_rank_3_model_1,2.68,0.46518,0.105
id_30_unrelaxed_rank_1_model_5,3.35,0.29779,0.0
id_27_unrelaxed_rank_4_model_5,3.08,0.49243,0.081
id_72_unrelaxed_rank_3_model_1,1.39,0.85347,0.221
id_82_unrelaxed_rank_2_model_1,1.31,0.88671,0.218
id_77_unrelaxed_rank_1_model_4,1.66,0.85651,0.289
id_97_unrelaxed_rank_4_model_1,2.98,0.43219,0.137
id_62_unrelaxed_rank_5_model_1,3.42,0.43009,0.0
id_43_unrelaxed_rank_2_model_1,1.63,0.8095,0.25
id_1_unrelaxed_rank_3_model_5,1.86,0.80915,0.224
id_3_unrelaxed_rank_2_model_3,2.23,0.76614,0.264
id_84_unrelaxed_rank_4_model_1,2.19,0.62902,0.269
id_81_unrelaxed_rank_1_model_4,0.88,0.90127,0.304
id_64_unrelaxed_rank_1_model_4,1.37,0.85377,0.17
id_83_unrelaxed_rank_2_model_5,2.9,0.56463,0.141
id_15_unrelaxed_rank_1_model_3,2.65,0.44271,0.255
id_40_unrelaxed_rank_2_model_2,2.43,0.43148,0.104
id_35_unrelaxed_rank_1_model_3,2.25,0.78041,0.221
id_43_unrelaxed_rank_4_model_5,2.24,0.74841,0.259
id_72_unrelaxed_rank_2_model_4,1.64,0.82776,0.221
id_5_unrelaxed_rank_1_model_3,4.48,0.39238,0.092
id_56_unrelaxed_rank_4_model_4,1.56,0.40604,0.05
