name,RMSD,TMscore,ID
id_53_unrelaxed_rank_5_model_5,1.06,0.95233,0.403
id_69_unrelaxed_rank_5_model_4,2.16,0.86386,0.259
id_23_unrelaxed_rank_1_model_5,1.06,0.95497,0.347
id_76_unrelaxed_rank_2_model_4,1.38,0.92481,0.426
id_79_unrelaxed_rank_1_model_2,1.65,0.90766,0.392
id_18_unrelaxed_rank_5_model_3,3.17,0.66941,0.2
id_13_unrelaxed_rank_5_model_3,1.22,0.93357,0.361
id_4_unrelaxed_rank_1_model_2,1.12,0.94442,0.416
id_31_unrelaxed_rank_1_model_2,1.17,0.94075,0.426
id_3_unrelaxed_rank_3_model_4,1.21,0.87389,0.406
id_47_unrelaxed_rank_2_model_1,1.03,0.95071,0.377
id_2_unrelaxed_rank_4_model_4,1.84,0.89049,0.387
id_33_unrelaxed_rank_2_model_3,1.06,0.95296,0.372
id_66_unrelaxed_rank_4_model_4,1.68,0.83387,0.232
id_14_unrelaxed_rank_1_model_1,1.11,0.9512,0.313
id_22_unrelaxed_rank_4_model_5,1.25,0.94348,0.461
id_97_unrelaxed_rank_1_model_4,1.33,0.93321,0.396
id_51_unrelaxed_rank_5_model_3,1.08,0.94546,0.412
id_51_unrelaxed_rank_2_model_1,1.01,0.9513,0.412
id_74_unrelaxed_rank_1_model_4,1.52,0.92345,0.342
id_41_unrelaxed_rank_1_model_5,1.39,0.92795,0.293
id_59_unrelaxed_rank_5_model_3,1.46,0.919,0.399
id_60_unrelaxed_rank_4_model_2,1.19,0.94423,0.383
id_67_unrelaxed_rank_2_model_4,1.41,0.92367,0.354
id_5_unrelaxed_rank_5_model_5,1.06,0.95643,0.433
id_43_unrelaxed_rank_2_model_2,2.93,0.74412,0.107
id_31_unrelaxed_rank_3_model_5,1.21,0.93757,0.426
id_98_unrelaxed_rank_3_model_1,1.57,0.91703,0.333
id_54_unrelaxed_rank_2_model_2,1.25,0.94062,0.396
id_34_unrelaxed_rank_3_model_5,2.46,0.82785,0.218
id_45_unrelaxed_rank_4_model_4,1.59,0.91555,0.322
id_45_unrelaxed_rank_2_model_2,1.68,0.91041,0.315
id_90_unrelaxed_rank_5_model_4,1.22,0.94618,0.436
id_86_unrelaxed_rank_2_model_4,1.78,0.87798,0.304
id_83_unrelaxed_rank_3_model_3,1.51,0.91918,0.311
id_95_unrelaxed_rank_2_model_1,0.97,0.95519,0.389
id_28_unrelaxed_rank_2_model_1,1.73,0.89597,0.304
id_42_unrelaxed_rank_4_model_2,1.64,0.92563,0.333
id_38_unrelaxed_rank_2_model_4,2.48,0.81402,0.302
id_99_unrelaxed_rank_4_model_4,1.21,0.94452,0.327
id_80_unrelaxed_rank_2_model_3,1.75,0.90463,0.284
id_87_unrelaxed_rank_1_model_1,1.25,0.9426,0.361
id_24_unrelaxed_rank_1_model_5,1.09,0.94535,0.395
id_97_unrelaxed_rank_3_model_5,1.27,0.93634,0.396
id_1_unrelaxed_rank_2_model_2,1.15,0.94941,0.413
id_9_unrelaxed_rank_1_model_3,1.55,0.90458,0.301
id_7_unrelaxed_rank_3_model_4,1.28,0.93905,0.287
id_84_unrelaxed_rank_3_model_5,1.81,0.89626,0.336
