,header,min_leven,perc_min_leven[dissimilarity]
0,nat_0,13.0,0.18055555555555555
1,nat_1,22.0,0.3235294117647059
2,nat_2,19.0,0.2835820895522388
3,nat_3,22.0,0.3283582089552239
4,nat_4,16.0,0.27586206896551724
5,nat_5,20.0,0.3076923076923077
6,nat_6,8.0,0.11940298507462686
7,nat_7,1.0,0.01639344262295082
8,nat_8,13.0,0.203125
9,nat_9,10.0,0.15873015873015872
10,nat_10,13.0,0.20967741935483872
11,nat_11,18.0,0.28125
12,nat_12,13.0,0.19696969696969696
13,nat_13,34.0,0.4657534246575342
14,nat_14,12.0,0.18181818181818182
15,nat_15,13.0,0.18309859154929578
16,nat_16,18.0,0.2608695652173913
17,nat_17,14.0,0.2028985507246377
18,nat_18,35.0,0.4375
19,nat_19,14.0,0.208955223880597
20,nat_20,8.0,0.12121212121212122
21,nat_21,24.0,0.3287671232876712
22,nat_22,10.0,0.15151515151515152
23,nat_23,3.0,0.04477611940298507
24,nat_24,1.0,0.015625
25,nat_25,5.0,0.07462686567164178
26,nat_26,2.0,0.029411764705882353
27,nat_27,2.0,0.029850746268656716
28,nat_28,2.0,0.03076923076923077
29,nat_29,4.0,0.06666666666666667
30,nat_30,14.0,0.21875
31,nat_31,12.0,0.1875
32,nat_32,1.0,0.015625
33,nat_33,15.0,0.22727272727272727
34,nat_34,5.0,0.07575757575757576
35,nat_35,1.0,0.016129032258064516
36,nat_36,1.0,0.014492753623188406
37,nat_37,7.0,0.11666666666666667
38,nat_38,21.0,0.3442622950819672
39,nat_39,1.0,0.01639344262295082
40,nat_40,1.0,0.013333333333333334
41,nat_41,1.0,0.015151515151515152
42,nat_42,1.0,0.014492753623188406
43,nat_43,5.0,0.07462686567164178
44,nat_44,19.0,0.3114754098360656
45,nat_45,6.0,0.09090909090909091
46,nat_46,41.0,0.5942028985507246
47,nat_47,3.0,0.04477611940298507
48,nat_48,1.0,0.015625
49,nat_49,5.0,0.07462686567164178
50,nat_50,25.0,0.38461538461538464
51,nat_51,7.0,0.11666666666666667
52,nat_52,2.0,0.03076923076923077
53,nat_53,6.0,0.0967741935483871
54,nat_54,1.0,0.016129032258064516
55,nat_55,1.0,0.014492753623188406
