,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,6.0,0.09090909090909091,6.0,0.09090909090909091
1,seq_1,5.0,0.07575757575757576,5.0,0.07575757575757576
2,seq_2,7.0,0.10606060606060606,7.0,0.10606060606060606
3,seq_3,5.0,0.07575757575757576,5.0,0.07575757575757576
4,seq_4,7.0,0.10606060606060606,7.0,0.10606060606060606
5,seq_5,5.0,0.07575757575757576,5.0,0.07575757575757576
6,seq_6,6.0,0.09090909090909091,6.0,0.09090909090909091
7,seq_7,7.0,0.10606060606060606,7.0,0.10606060606060606
8,seq_8,8.0,0.12121212121212122,8.0,0.12121212121212122
9,seq_9,7.0,0.10606060606060606,7.0,0.10606060606060606
10,seq_10,6.0,0.09090909090909091,6.0,0.09090909090909091
11,seq_11,7.0,0.10606060606060606,7.0,0.10606060606060606
12,seq_12,6.0,0.09090909090909091,6.0,0.09090909090909091
13,seq_13,7.0,0.10606060606060606,7.0,0.10606060606060606
14,seq_14,5.0,0.07575757575757576,5.0,0.07575757575757576
15,seq_15,6.0,0.09090909090909091,6.0,0.09090909090909091
16,seq_16,6.0,0.09090909090909091,6.0,0.09090909090909091
17,seq_17,7.0,0.10606060606060606,7.0,0.10606060606060606
18,seq_18,6.0,0.09090909090909091,6.0,0.09090909090909091
19,seq_19,6.0,0.09090909090909091,6.0,0.09090909090909091
20,seq_20,7.0,0.10606060606060606,7.0,0.10606060606060606
21,seq_21,6.0,0.09090909090909091,6.0,0.09090909090909091
22,seq_22,6.0,0.09090909090909091,6.0,0.09090909090909091
23,seq_23,6.0,0.09090909090909091,6.0,0.09090909090909091
24,seq_24,6.0,0.09090909090909091,6.0,0.09090909090909091
25,seq_25,6.0,0.09090909090909091,6.0,0.09090909090909091
26,seq_26,6.0,0.09090909090909091,6.0,0.09090909090909091
27,seq_27,7.0,0.10606060606060606,7.0,0.10606060606060606
28,seq_28,8.0,0.12121212121212122,8.0,0.12121212121212122
29,seq_29,6.0,0.09090909090909091,6.0,0.09090909090909091
30,seq_30,7.0,0.10606060606060606,7.0,0.10606060606060606
31,seq_31,8.0,0.12121212121212122,8.0,0.12121212121212122
32,seq_32,7.0,0.10606060606060606,7.0,0.10606060606060606
33,seq_33,7.0,0.10606060606060606,7.0,0.10606060606060606
34,seq_34,7.0,0.10606060606060606,7.0,0.10606060606060606
35,seq_35,6.0,0.09090909090909091,6.0,0.09090909090909091
36,seq_36,6.0,0.09090909090909091,6.0,0.09090909090909091
37,seq_37,7.0,0.10606060606060606,7.0,0.10606060606060606
38,seq_38,5.0,0.07575757575757576,5.0,0.07575757575757576
39,seq_39,6.0,0.09090909090909091,6.0,0.09090909090909091
40,seq_40,6.0,0.09090909090909091,6.0,0.09090909090909091
41,seq_41,5.0,0.07575757575757576,5.0,0.07575757575757576
42,seq_42,7.0,0.10606060606060606,7.0,0.10606060606060606
43,seq_43,6.0,0.09090909090909091,6.0,0.09090909090909091
44,seq_44,6.0,0.09090909090909091,6.0,0.09090909090909091
45,seq_45,3.0,0.045454545454545456,3.0,0.045454545454545456
46,seq_46,7.0,0.10606060606060606,7.0,0.10606060606060606
47,seq_47,8.0,0.12121212121212122,8.0,0.12121212121212122
48,seq_48,6.0,0.09090909090909091,6.0,0.09090909090909091
49,seq_49,7.0,0.10606060606060606,7.0,0.10606060606060606
50,seq_50,7.0,0.10606060606060606,7.0,0.10606060606060606
51,seq_51,5.0,0.07575757575757576,5.0,0.07575757575757576
52,seq_52,7.0,0.10606060606060606,7.0,0.10606060606060606
53,seq_53,7.0,0.10606060606060606,7.0,0.10606060606060606
54,seq_54,6.0,0.09090909090909091,6.0,0.09090909090909091
55,seq_55,7.0,0.10606060606060606,7.0,0.10606060606060606
56,seq_56,6.0,0.09090909090909091,6.0,0.09090909090909091
57,seq_57,4.0,0.06060606060606061,4.0,0.06060606060606061
58,seq_58,7.0,0.10606060606060606,7.0,0.10606060606060606
59,seq_59,6.0,0.09090909090909091,6.0,0.09090909090909091
60,seq_60,8.0,0.12121212121212122,8.0,0.12121212121212122
61,seq_61,8.0,0.12121212121212122,8.0,0.12121212121212122
62,seq_62,7.0,0.10606060606060606,7.0,0.10606060606060606
63,seq_63,5.0,0.07575757575757576,5.0,0.07575757575757576
64,seq_64,6.0,0.09090909090909091,6.0,0.09090909090909091
65,seq_65,7.0,0.10606060606060606,7.0,0.10606060606060606
66,seq_66,7.0,0.10606060606060606,7.0,0.10606060606060606
67,seq_67,5.0,0.07575757575757576,5.0,0.07575757575757576
68,seq_68,5.0,0.07575757575757576,5.0,0.07575757575757576
69,seq_69,8.0,0.12121212121212122,8.0,0.12121212121212122
70,seq_70,5.0,0.07575757575757576,5.0,0.07575757575757576
71,seq_71,7.0,0.10606060606060606,7.0,0.10606060606060606
72,seq_72,7.0,0.10606060606060606,7.0,0.10606060606060606
73,seq_73,7.0,0.10606060606060606,7.0,0.10606060606060606
74,seq_74,7.0,0.10606060606060606,7.0,0.10606060606060606
75,seq_75,6.0,0.09090909090909091,6.0,0.09090909090909091
76,seq_76,5.0,0.07575757575757576,5.0,0.07575757575757576
77,seq_77,7.0,0.10606060606060606,7.0,0.10606060606060606
78,seq_78,6.0,0.09090909090909091,6.0,0.09090909090909091
79,seq_79,6.0,0.09090909090909091,6.0,0.09090909090909091
80,seq_80,7.0,0.10606060606060606,7.0,0.10606060606060606
81,seq_81,7.0,0.10606060606060606,7.0,0.10606060606060606
82,seq_82,5.0,0.07575757575757576,5.0,0.07575757575757576
83,seq_83,8.0,0.12121212121212122,8.0,0.12121212121212122
84,seq_84,6.0,0.09090909090909091,6.0,0.09090909090909091
85,seq_85,8.0,0.12121212121212122,8.0,0.12121212121212122
86,seq_86,6.0,0.09090909090909091,6.0,0.09090909090909091
87,seq_87,6.0,0.09090909090909091,6.0,0.09090909090909091
88,seq_88,6.0,0.09090909090909091,6.0,0.09090909090909091
89,seq_89,8.0,0.12121212121212122,8.0,0.12121212121212122
90,seq_90,6.0,0.09090909090909091,6.0,0.09090909090909091
91,seq_91,8.0,0.12121212121212122,8.0,0.12121212121212122
92,seq_92,7.0,0.10606060606060606,7.0,0.10606060606060606
93,seq_93,8.0,0.12121212121212122,8.0,0.12121212121212122
94,seq_94,4.0,0.06060606060606061,4.0,0.06060606060606061
95,seq_95,6.0,0.09090909090909091,6.0,0.09090909090909091
96,seq_96,6.0,0.09090909090909091,6.0,0.09090909090909091
97,seq_97,6.0,0.09090909090909091,6.0,0.09090909090909091
98,seq_98,7.0,0.10606060606060606,7.0,0.10606060606060606
99,seq_99,5.0,0.07575757575757576,5.0,0.07575757575757576
