name,RMSD,TMscore,ID
id_45_unrelaxed_rank_2_model_1,1.61,0.81464,0.539
id_0_unrelaxed_rank_3_model_1,1.67,0.82965,0.533
id_53_unrelaxed_rank_5_model_5,1.1,0.91086,0.622
id_62_unrelaxed_rank_1_model_3,1.2,0.86843,0.58
id_52_unrelaxed_rank_2_model_4,0.94,0.91476,0.549
id_96_unrelaxed_rank_2_model_4,1.04,0.89616,0.615
id_74_unrelaxed_rank_3_model_1,1.56,0.83409,0.543
id_63_unrelaxed_rank_5_model_2,0.95,0.91059,0.714
id_33_unrelaxed_rank_2_model_5,0.78,0.92597,0.714
id_84_unrelaxed_rank_3_model_4,1.89,0.84276,0.562
id_24_unrelaxed_rank_4_model_5,0.79,0.92348,0.544
id_21_unrelaxed_rank_1_model_4,1.58,0.8442,0.489
id_53_unrelaxed_rank_1_model_4,1.1,0.91219,0.622
id_39_unrelaxed_rank_3_model_1,0.64,0.93733,0.652
id_22_unrelaxed_rank_3_model_5,1.27,0.87123,0.596
id_98_unrelaxed_rank_2_model_1,1.48,0.83551,0.562
id_95_unrelaxed_rank_4_model_5,2.01,0.79866,0.629
id_62_unrelaxed_rank_3_model_5,1.1,0.88431,0.58
id_88_unrelaxed_rank_4_model_5,0.77,0.92553,0.604
id_26_unrelaxed_rank_1_model_1,1.16,0.89661,0.584
id_71_unrelaxed_rank_4_model_5,1.17,0.88596,0.615
id_53_unrelaxed_rank_3_model_3,1.05,0.91542,0.622
id_15_unrelaxed_rank_4_model_1,1.8,0.83511,0.56
id_13_unrelaxed_rank_3_model_5,0.54,0.94555,0.633
id_96_unrelaxed_rank_3_model_3,0.97,0.90603,0.615
id_97_unrelaxed_rank_1_model_4,0.97,0.90523,0.495
id_52_unrelaxed_rank_4_model_5,0.94,0.91654,0.549
id_85_unrelaxed_rank_5_model_5,1.3,0.87137,0.615
id_92_unrelaxed_rank_1_model_3,1.62,0.8217,0.578
id_71_unrelaxed_rank_2_model_3,1.31,0.87589,0.626
id_86_unrelaxed_rank_2_model_4,1.2,0.8899,0.685
id_28_unrelaxed_rank_2_model_1,1.49,0.85746,0.556
id_42_unrelaxed_rank_4_model_2,1.04,0.89894,0.667
id_38_unrelaxed_rank_2_model_4,1.09,0.89627,0.571
id_18_unrelaxed_rank_1_model_3,1.49,0.87105,0.611
id_83_unrelaxed_rank_1_model_4,1.37,0.90473,0.578
id_32_unrelaxed_rank_4_model_2,1.09,0.8892,0.575
id_16_unrelaxed_rank_2_model_3,1.08,0.91018,0.622
id_67_unrelaxed_rank_2_model_5,1.74,0.82761,0.667
id_39_unrelaxed_rank_2_model_4,0.65,0.93617,0.652
id_74_unrelaxed_rank_2_model_4,1.41,0.8531,0.556
id_32_unrelaxed_rank_5_model_5,1.0,0.90269,0.586
id_7_unrelaxed_rank_1_model_3,2.38,0.72794,0.622
id_15_unrelaxed_rank_2_model_3,1.32,0.84598,0.562
id_76_unrelaxed_rank_5_model_2,1.51,0.86548,0.622
id_2_unrelaxed_rank_5_model_5,1.15,0.8835,0.578
id_46_unrelaxed_rank_1_model_5,1.2,0.88687,0.544
id_14_unrelaxed_rank_1_model_3,0.9,0.91429,0.714
id_55_unrelaxed_rank_4_model_5,0.61,0.93707,0.64
id_3_unrelaxed_rank_4_model_1,1.11,0.87581,0.628
id_70_unrelaxed_rank_2_model_3,2.16,0.79809,0.586
id_68_unrelaxed_rank_2_model_3,0.74,0.92902,0.626
id_94_unrelaxed_rank_4_model_5,1.12,0.87634,0.609
id_38_unrelaxed_rank_4_model_1,1.12,0.8949,0.56
id_42_unrelaxed_rank_3_model_1,0.83,0.92121,0.667
id_46_unrelaxed_rank_3_model_4,1.33,0.86851,0.556
id_86_unrelaxed_rank_4_model_5,1.22,0.89725,0.685
id_38_unrelaxed_rank_3_model_5,1.1,0.89618,0.571
id_50_unrelaxed_rank_5_model_1,1.5,0.86668,0.433
id_61_unrelaxed_rank_3_model_5,1.71,0.81597,0.591
id_61_unrelaxed_rank_2_model_3,1.41,0.85615,0.591
id_41_unrelaxed_rank_2_model_3,1.41,0.86564,0.5
id_68_unrelaxed_rank_3_model_5,0.75,0.92857,0.626
id_17_unrelaxed_rank_1_model_4,0.71,0.93147,0.659
id_68_unrelaxed_rank_4_model_1,0.73,0.92958,0.626
id_54_unrelaxed_rank_5_model_2,0.62,0.9404,0.725
id_40_unrelaxed_rank_4_model_5,0.79,0.92538,0.578
id_43_unrelaxed_rank_3_model_4,0.82,0.92196,0.593
id_99_unrelaxed_rank_2_model_4,0.66,0.93702,0.67
id_12_unrelaxed_rank_2_model_4,1.63,0.84957,0.567
id_30_unrelaxed_rank_4_model_1,1.02,0.90198,0.615
id_17_unrelaxed_rank_5_model_2,0.73,0.93007,0.659
id_11_unrelaxed_rank_2_model_3,1.57,0.83303,0.644
id_4_unrelaxed_rank_2_model_4,0.74,0.92742,0.584
id_89_unrelaxed_rank_4_model_2,0.88,0.91903,0.571
id_33_unrelaxed_rank_5_model_2,0.79,0.92427,0.714
id_37_unrelaxed_rank_3_model_4,2.63,0.7867,0.549
id_22_unrelaxed_rank_2_model_4,1.3,0.87463,0.589
id_55_unrelaxed_rank_5_model_2,0.62,0.93571,0.64
id_54_unrelaxed_rank_4_model_1,0.65,0.93731,0.725
id_15_unrelaxed_rank_5_model_2,1.1,0.87018,0.562
id_58_unrelaxed_rank_1_model_3,0.98,0.90575,0.615
id_50_unrelaxed_rank_3_model_3,1.4,0.87392,0.433
id_73_unrelaxed_rank_5_model_2,1.04,0.89143,0.678
id_41_unrelaxed_rank_4_model_5,1.21,0.88632,0.5
id_27_unrelaxed_rank_3_model_3,1.13,0.88722,0.648
id_23_unrelaxed_rank_1_model_3,1.3,0.89063,0.578
id_75_unrelaxed_rank_3_model_5,0.63,0.93919,0.637
id_56_unrelaxed_rank_4_model_1,0.63,0.94038,0.681
id_39_unrelaxed_rank_4_model_5,0.66,0.93484,0.652
id_10_unrelaxed_rank_4_model_2,1.56,0.82575,0.6
id_92_unrelaxed_rank_3_model_4,1.43,0.84865,0.578
id_89_unrelaxed_rank_1_model_4,0.61,0.94073,0.571
id_90_unrelaxed_rank_1_model_5,1.25,0.90662,0.681
id_33_unrelaxed_rank_1_model_3,0.8,0.92342,0.714
id_8_unrelaxed_rank_5_model_1,1.69,0.82442,0.573
id_57_unrelaxed_rank_4_model_1,1.73,0.84017,0.533
id_13_unrelaxed_rank_2_model_3,0.6,0.94064,0.633
id_9_unrelaxed_rank_4_model_5,0.68,0.93529,0.67
id_77_unrelaxed_rank_4_model_1,0.7,0.93419,0.626
id_34_unrelaxed_rank_1_model_4,0.56,0.94402,0.7
id_47_unrelaxed_rank_5_model_5,1.17,0.86927,0.624
id_28_unrelaxed_rank_4_model_3,1.73,0.80156,0.573
id_30_unrelaxed_rank_5_model_2,1.05,0.89804,0.615
id_60_unrelaxed_rank_3_model_4,1.14,0.89201,0.571
id_99_unrelaxed_rank_5_model_2,0.72,0.9321,0.67
id_99_unrelaxed_rank_4_model_1,0.69,0.93532,0.67
id_48_unrelaxed_rank_2_model_3,1.33,0.8945,0.556
id_69_unrelaxed_rank_2_model_5,1.65,0.81375,0.556
id_39_unrelaxed_rank_5_model_2,0.7,0.9317,0.652
id_88_unrelaxed_rank_2_model_1,0.76,0.92717,0.604
id_61_unrelaxed_rank_4_model_1,1.77,0.84186,0.557
id_4_unrelaxed_rank_3_model_1,0.69,0.93196,0.584
id_88_unrelaxed_rank_5_model_2,0.79,0.92472,0.604
id_12_unrelaxed_rank_5_model_2,1.6,0.84142,0.567
id_2_unrelaxed_rank_4_model_2,1.33,0.86753,0.578
id_48_unrelaxed_rank_4_model_5,1.19,0.90622,0.567
id_56_unrelaxed_rank_1_model_4,0.57,0.94479,0.681
id_72_unrelaxed_rank_1_model_3,0.64,0.93761,0.656
id_10_unrelaxed_rank_3_model_1,0.95,0.90475,0.6
id_80_unrelaxed_rank_3_model_3,1.94,0.81382,0.567
id_52_unrelaxed_rank_1_model_3,0.89,0.91642,0.549
id_17_unrelaxed_rank_2_model_3,0.73,0.9303,0.659
id_82_unrelaxed_rank_4_model_4,1.84,0.84495,0.6
id_76_unrelaxed_rank_3_model_1,1.63,0.85425,0.622
id_70_unrelaxed_rank_3_model_1,2.28,0.81399,0.591
id_3_unrelaxed_rank_1_model_4,0.85,0.91477,0.618
id_67_unrelaxed_rank_3_model_4,1.8,0.817,0.674
id_32_unrelaxed_rank_2_model_1,1.13,0.88572,0.586
id_21_unrelaxed_rank_3_model_5,1.62,0.83585,0.489
id_5_unrelaxed_rank_3_model_3,1.41,0.85483,0.578
id_83_unrelaxed_rank_5_model_2,1.27,0.90677,0.578
id_31_unrelaxed_rank_4_model_5,1.16,0.88016,0.544
id_13_unrelaxed_rank_1_model_4,0.58,0.94252,0.633
id_96_unrelaxed_rank_4_model_1,0.93,0.90921,0.615
id_5_unrelaxed_rank_2_model_4,1.28,0.87237,0.578
id_55_unrelaxed_rank_2_model_3,0.73,0.92566,0.64
id_58_unrelaxed_rank_5_model_2,0.84,0.92044,0.615
id_63_unrelaxed_rank_2_model_3,0.74,0.92967,0.714
id_78_unrelaxed_rank_5_model_2,0.74,0.92929,0.578
id_74_unrelaxed_rank_4_model_2,1.78,0.80623,0.556
id_59_unrelaxed_rank_3_model_4,2.52,0.73244,0.545
id_75_unrelaxed_rank_2_model_1,0.58,0.94313,0.637
id_4_unrelaxed_rank_1_model_3,0.84,0.9172,0.584
id_29_unrelaxed_rank_5_model_2,0.67,0.93508,0.626
id_86_unrelaxed_rank_3_model_1,1.3,0.88095,0.674
id_73_unrelaxed_rank_2_model_4,1.07,0.90691,0.681
id_43_unrelaxed_rank_2_model_5,0.85,0.91752,0.593
id_35_unrelaxed_rank_3_model_3,0.91,0.90926,0.611
id_85_unrelaxed_rank_3_model_3,1.2,0.88479,0.615
id_81_unrelaxed_rank_4_model_1,1.09,0.89925,0.632
id_2_unrelaxed_rank_1_model_4,1.01,0.8999,0.578
id_55_unrelaxed_rank_3_model_1,0.62,0.93691,0.64
id_54_unrelaxed_rank_2_model_5,0.67,0.93583,0.725
id_90_unrelaxed_rank_4_model_2,1.28,0.90631,0.681
id_9_unrelaxed_rank_2_model_3,0.84,0.92051,0.67
id_36_unrelaxed_rank_1_model_4,1.05,0.89163,0.678
id_71_unrelaxed_rank_3_model_4,1.15,0.88996,0.626
id_78_unrelaxed_rank_3_model_3,0.76,0.92599,0.578
id_16_unrelaxed_rank_4_model_2,0.69,0.9329,0.622
id_41_unrelaxed_rank_3_model_1,1.41,0.85901,0.489
id_52_unrelaxed_rank_3_model_1,0.88,0.91963,0.549
id_64_unrelaxed_rank_2_model_1,1.44,0.8499,0.571
id_27_unrelaxed_rank_1_model_4,1.0,0.90326,0.648
id_97_unrelaxed_rank_5_model_2,1.09,0.89116,0.495
