name,RMSD,TMscore,ID
id_98_unrelaxed_rank_3_model_3,6.24,0.29297,0.056
id_99_unrelaxed_rank_1_model_2,2.38,0.84971,0.155
id_37_unrelaxed_rank_2_model_5,6.33,0.28274,0.071
id_36_unrelaxed_rank_3_model_3,5.48,0.29588,0.059
id_18_unrelaxed_rank_5_model_3,2.27,0.89766,0.333
id_4_unrelaxed_rank_1_model_2,5.86,0.25441,0.057
id_91_unrelaxed_rank_2_model_2,5.38,0.33587,0.109
id_91_unrelaxed_rank_4_model_3,6.27,0.30077,0.071
id_98_unrelaxed_rank_2_model_1,6.29,0.31212,0.058
id_3_unrelaxed_rank_3_model_4,3.03,0.77039,0.194
id_19_unrelaxed_rank_3_model_2,6.12,0.18522,0.1
id_47_unrelaxed_rank_2_model_1,3.13,0.82666,0.172
id_42_unrelaxed_rank_5_model_3,1.46,0.94216,0.388
id_67_unrelaxed_rank_4_model_1,5.11,0.4503,0.176
id_96_unrelaxed_rank_5_model_5,2.46,0.81138,0.176
id_43_unrelaxed_rank_3_model_2,5.08,0.31591,0.079
id_96_unrelaxed_rank_3_model_3,2.59,0.81518,0.179
id_75_unrelaxed_rank_3_model_1,2.34,0.86694,0.249
id_40_unrelaxed_rank_2_model_4,6.0,0.26376,0.062
id_2_unrelaxed_rank_2_model_1,2.72,0.82004,0.182
id_70_unrelaxed_rank_4_model_1,5.92,0.29346,0.087
id_78_unrelaxed_rank_3_model_2,2.09,0.89438,0.249
id_76_unrelaxed_rank_4_model_1,3.81,0.59595,0.138
id_67_unrelaxed_rank_2_model_4,5.16,0.4774,0.169
id_2_unrelaxed_rank_4_model_3,2.97,0.8095,0.2
id_55_unrelaxed_rank_1_model_3,5.96,0.37147,0.121
id_54_unrelaxed_rank_2_model_2,1.58,0.92785,0.364
id_45_unrelaxed_rank_2_model_2,4.48,0.29607,0.06
id_10_unrelaxed_rank_3_model_3,5.17,0.29146,0.067
id_92_unrelaxed_rank_5_model_3,1.69,0.92518,0.305
id_21_unrelaxed_rank_2_model_1,5.97,0.28277,0.115
id_39_unrelaxed_rank_1_model_2,5.09,0.30897,0.082
id_28_unrelaxed_rank_2_model_1,2.17,0.86786,0.28
id_15_unrelaxed_rank_1_model_2,5.72,0.27201,0.094
id_71_unrelaxed_rank_2_model_2,2.22,0.87907,0.274
id_32_unrelaxed_rank_4_model_5,5.6,0.34974,0.076
id_31_unrelaxed_rank_1_model_5,3.88,0.4934,0.165
id_57_unrelaxed_rank_1_model_3,1.8,0.91126,0.364
id_77_unrelaxed_rank_5_model_1,2.1,0.90376,0.247
id_35_unrelaxed_rank_5_model_3,5.45,0.26699,0.114
id_65_unrelaxed_rank_2_model_1,1.76,0.91945,0.352
id_80_unrelaxed_rank_2_model_3,2.3,0.84959,0.215
id_82_unrelaxed_rank_4_model_2,1.88,0.91117,0.226
id_97_unrelaxed_rank_3_model_5,1.6,0.92058,0.321
id_1_unrelaxed_rank_2_model_2,1.94,0.90083,0.328
id_91_unrelaxed_rank_3_model_1,6.07,0.32155,0.068
id_38_unrelaxed_rank_3_model_1,2.26,0.87375,0.179
id_48_unrelaxed_rank_5_model_1,1.6,0.93396,0.437
id_71_unrelaxed_rank_4_model_1,2.16,0.87632,0.271
id_92_unrelaxed_rank_3_model_5,1.71,0.92363,0.305
id_51_unrelaxed_rank_2_model_5,5.87,0.32221,0.06
id_85_unrelaxed_rank_3_model_2,2.1,0.90432,0.258
id_63_unrelaxed_rank_4_model_5,2.3,0.873,0.222
id_92_unrelaxed_rank_1_model_4,1.9,0.92239,0.303
id_79_unrelaxed_rank_3_model_5,5.94,0.26797,0.109
id_51_unrelaxed_rank_1_model_2,4.54,0.27985,0.037
id_76_unrelaxed_rank_5_model_2,4.3,0.61084,0.136
id_2_unrelaxed_rank_5_model_5,4.04,0.70097,0.177
id_46_unrelaxed_rank_1_model_5,2.26,0.88312,0.196
id_14_unrelaxed_rank_1_model_3,2.25,0.8833,0.281
id_0_unrelaxed_rank_1_model_5,2.21,0.87318,0.269
id_88_unrelaxed_rank_5_model_5,2.38,0.87005,0.237
id_27_unrelaxed_rank_1_model_2,2.3,0.87536,0.213
id_51_unrelaxed_rank_4_model_3,6.07,0.27808,0.157
id_20_unrelaxed_rank_4_model_5,3.84,0.6145,0.155
id_50_unrelaxed_rank_2_model_1,2.18,0.87643,0.301
id_14_unrelaxed_rank_2_model_1,2.1,0.88957,0.296
id_48_unrelaxed_rank_3_model_5,1.54,0.9365,0.447
id_18_unrelaxed_rank_3_model_4,2.3,0.90636,0.323
id_32_unrelaxed_rank_2_model_4,6.05,0.32826,0.059
id_0_unrelaxed_rank_4_model_3,2.35,0.87656,0.265
id_12_unrelaxed_rank_5_model_4,3.62,0.67237,0.148
id_99_unrelaxed_rank_2_model_4,2.41,0.83735,0.151
id_22_unrelaxed_rank_2_model_3,2.89,0.82102,0.2
id_42_unrelaxed_rank_2_model_5,1.46,0.94078,0.393
id_16_unrelaxed_rank_3_model_3,4.36,0.42701,0.172
id_87_unrelaxed_rank_1_model_3,3.02,0.80418,0.136
id_71_unrelaxed_rank_3_model_3,2.3,0.86971,0.275
id_82_unrelaxed_rank_2_model_4,2.05,0.89873,0.221
id_39_unrelaxed_rank_4_model_3,6.22,0.28139,0.047
id_73_unrelaxed_rank_4_model_4,5.31,0.30686,0.079
id_43_unrelaxed_rank_4_model_3,5.48,0.32342,0.106
id_30_unrelaxed_rank_3_model_1,2.34,0.87233,0.25
id_95_unrelaxed_rank_3_model_4,6.03,0.23246,0.072
id_55_unrelaxed_rank_5_model_2,5.72,0.26339,0.056
id_15_unrelaxed_rank_2_model_1,5.32,0.25291,0.024
id_34_unrelaxed_rank_2_model_3,2.87,0.82274,0.174
id_54_unrelaxed_rank_4_model_1,1.59,0.92547,0.364
id_57_unrelaxed_rank_4_model_2,1.87,0.90658,0.364
id_47_unrelaxed_rank_1_model_2,3.17,0.81667,0.183
id_89_unrelaxed_rank_4_model_5,1.95,0.89686,0.293
id_32_unrelaxed_rank_1_model_1,5.19,0.34196,0.045
id_50_unrelaxed_rank_3_model_3,2.24,0.88918,0.31
id_41_unrelaxed_rank_4_model_5,2.63,0.82051,0.254
id_91_unrelaxed_rank_5_model_5,5.55,0.29293,0.07
id_60_unrelaxed_rank_5_model_4,2.22,0.87855,0.242
id_37_unrelaxed_rank_1_model_2,5.54,0.32945,0.064
id_54_unrelaxed_rank_5_model_4,1.63,0.92691,0.364
id_4_unrelaxed_rank_2_model_5,5.11,0.28614,0.044
id_11_unrelaxed_rank_2_model_1,5.26,0.36737,0.05
id_67_unrelaxed_rank_3_model_3,5.18,0.48531,0.197
id_65_unrelaxed_rank_3_model_2,1.72,0.9202,0.357
id_13_unrelaxed_rank_2_model_3,2.3,0.87946,0.237
id_67_unrelaxed_rank_1_model_5,3.78,0.66192,0.167
id_34_unrelaxed_rank_1_model_4,3.0,0.82358,0.149
id_28_unrelaxed_rank_4_model_3,2.12,0.8736,0.299
id_86_unrelaxed_rank_1_model_2,2.29,0.86888,0.287
id_38_unrelaxed_rank_4_model_4,2.27,0.85059,0.179
id_71_unrelaxed_rank_1_model_4,2.23,0.87929,0.265
id_29_unrelaxed_rank_3_model_1,2.25,0.878,0.218
id_55_unrelaxed_rank_4_model_4,5.57,0.37925,0.105
id_59_unrelaxed_rank_2_model_2,2.13,0.90204,0.276
id_39_unrelaxed_rank_2_model_1,5.72,0.27521,0.063
id_70_unrelaxed_rank_1_model_3,5.27,0.33266,0.075
id_81_unrelaxed_rank_3_model_3,2.1,0.88862,0.194
id_14_unrelaxed_rank_3_model_4,2.39,0.87059,0.291
id_8_unrelaxed_rank_4_model_1,1.65,0.92495,0.284
id_67_unrelaxed_rank_5_model_2,5.33,0.41149,0.14
id_48_unrelaxed_rank_2_model_3,1.45,0.94533,0.447
id_88_unrelaxed_rank_1_model_1,2.23,0.86834,0.254
id_61_unrelaxed_rank_4_model_1,3.1,0.8044,0.237
id_96_unrelaxed_rank_2_model_2,2.35,0.83794,0.189
id_3_unrelaxed_rank_1_model_5,2.96,0.7779,0.174
id_51_unrelaxed_rank_5_model_4,5.73,0.29452,0.121
id_58_unrelaxed_rank_1_model_2,2.4,0.85048,0.155
id_24_unrelaxed_rank_5_model_5,2.06,0.8932,0.213
id_47_unrelaxed_rank_3_model_5,3.14,0.82414,0.172
id_0_unrelaxed_rank_5_model_1,2.22,0.88312,0.265
id_87_unrelaxed_rank_3_model_1,2.96,0.81641,0.128
id_58_unrelaxed_rank_3_model_1,2.65,0.82534,0.166
id_66_unrelaxed_rank_1_model_2,2.66,0.84319,0.208
id_40_unrelaxed_rank_1_model_1,5.35,0.29963,0.11
id_58_unrelaxed_rank_5_model_5,2.69,0.82545,0.156
id_32_unrelaxed_rank_5_model_3,5.37,0.29481,0.062
id_52_unrelaxed_rank_3_model_2,1.93,0.91816,0.273
id_5_unrelaxed_rank_3_model_3,2.02,0.91086,0.337
id_13_unrelaxed_rank_4_model_2,2.52,0.85672,0.235
id_54_unrelaxed_rank_3_model_5,1.66,0.92409,0.364
id_22_unrelaxed_rank_3_model_4,2.6,0.8458,0.196
id_9_unrelaxed_rank_5_model_3,2.36,0.87912,0.219
id_57_unrelaxed_rank_3_model_1,1.66,0.92484,0.364
id_13_unrelaxed_rank_1_model_4,2.27,0.88405,0.237
id_74_unrelaxed_rank_1_model_1,4.14,0.49721,0.14
id_13_unrelaxed_rank_5_model_5,2.1,0.88951,0.234
id_86_unrelaxed_rank_5_model_4,2.35,0.8454,0.28
id_74_unrelaxed_rank_4_model_2,4.95,0.49145,0.155
id_47_unrelaxed_rank_5_model_3,3.07,0.78705,0.184
id_56_unrelaxed_rank_4_model_5,5.81,0.28223,0.031
id_2_unrelaxed_rank_1_model_4,3.0,0.80038,0.17
id_25_unrelaxed_rank_3_model_3,5.86,0.30198,0.113
id_90_unrelaxed_rank_4_model_5,4.94,0.29133,0.089
id_99_unrelaxed_rank_4_model_5,2.36,0.85229,0.155
id_14_unrelaxed_rank_5_model_5,2.16,0.89242,0.281
id_46_unrelaxed_rank_5_model_3,2.29,0.87063,0.202
id_16_unrelaxed_rank_4_model_2,5.31,0.37964,0.119
id_0_unrelaxed_rank_3_model_2,2.31,0.87954,0.265
id_93_unrelaxed_rank_2_model_2,2.74,0.81658,0.168
id_85_unrelaxed_rank_5_model_3,2.11,0.89786,0.263
id_63_unrelaxed_rank_1_model_1,1.98,0.89763,0.222
id_64_unrelaxed_rank_2_model_1,2.58,0.83331,0.164
id_7_unrelaxed_rank_3_model_5,2.31,0.88015,0.189
id_68_unrelaxed_rank_3_model_4,3.37,0.76561,0.191
id_21_unrelaxed_rank_4_model_3,6.01,0.28852,0.068
id_35_unrelaxed_rank_4_model_4,5.62,0.29749,0.088
id_55_unrelaxed_rank_2_model_1,5.99,0.39739,0.079
id_87_unrelaxed_rank_2_model_4,3.16,0.77588,0.134
id_72_unrelaxed_rank_3_model_2,2.42,0.8711,0.185
id_43_unrelaxed_rank_5_model_1,5.39,0.32955,0.103
id_87_unrelaxed_rank_5_model_5,3.26,0.77012,0.138
id_40_unrelaxed_rank_4_model_2,6.19,0.26062,0.062
id_31_unrelaxed_rank_2_model_1,5.33,0.50083,0.142
id_65_unrelaxed_rank_4_model_4,1.62,0.92853,0.352
id_83_unrelaxed_rank_1_model_2,1.85,0.91903,0.314
id_99_unrelaxed_rank_3_model_1,2.43,0.84665,0.155
id_50_unrelaxed_rank_1_model_2,2.19,0.86808,0.297
id_66_unrelaxed_rank_5_model_1,2.59,0.83558,0.222
id_64_unrelaxed_rank_1_model_2,2.58,0.84406,0.158
id_35_unrelaxed_rank_2_model_2,5.71,0.30412,0.097
id_40_unrelaxed_rank_3_model_5,5.76,0.30695,0.067
id_26_unrelaxed_rank_5_model_4,5.65,0.29696,0.097
id_7_unrelaxed_rank_5_model_2,2.44,0.88167,0.193
id_4_unrelaxed_rank_4_model_1,5.59,0.31752,0.064
id_80_unrelaxed_rank_5_model_2,2.39,0.85744,0.213
id_44_unrelaxed_rank_1_model_2,4.69,0.26368,0.114
id_72_unrelaxed_rank_5_model_4,2.86,0.8471,0.189
id_60_unrelaxed_rank_2_model_3,2.31,0.87963,0.242
id_8_unrelaxed_rank_3_model_5,1.76,0.92015,0.294
id_42_unrelaxed_rank_1_model_2,1.79,0.92931,0.381
id_23_unrelaxed_rank_1_model_2,2.69,0.83082,0.151
id_39_unrelaxed_rank_3_model_4,5.61,0.25307,0.083
id_98_unrelaxed_rank_1_model_2,6.76,0.24415,0.1
id_93_unrelaxed_rank_3_model_4,4.81,0.49803,0.167
id_73_unrelaxed_rank_1_model_1,6.1,0.29113,0.075
id_49_unrelaxed_rank_5_model_5,1.62,0.93211,0.354
id_62_unrelaxed_rank_2_model_2,2.36,0.87573,0.188
id_25_unrelaxed_rank_4_model_5,6.3,0.26213,0.052
id_27_unrelaxed_rank_4_model_5,2.45,0.86166,0.213
id_31_unrelaxed_rank_4_model_3,5.31,0.49,0.14
id_53_unrelaxed_rank_1_model_2,6.14,0.30332,0.099
id_97_unrelaxed_rank_4_model_1,1.54,0.93159,0.313
id_72_unrelaxed_rank_4_model_1,2.64,0.86164,0.185
id_90_unrelaxed_rank_1_model_2,5.77,0.27697,0.08
id_91_unrelaxed_rank_1_model_4,5.26,0.35185,0.069
id_69_unrelaxed_rank_2_model_1,5.62,0.35629,0.12
id_90_unrelaxed_rank_5_model_1,4.71,0.28764,0.078
id_3_unrelaxed_rank_2_model_3,3.1,0.75427,0.181
id_9_unrelaxed_rank_4_model_1,2.34,0.88262,0.219
id_18_unrelaxed_rank_4_model_2,2.5,0.88977,0.323
id_34_unrelaxed_rank_4_model_2,2.73,0.84315,0.168
id_99_unrelaxed_rank_5_model_3,2.31,0.86151,0.156
id_25_unrelaxed_rank_1_model_2,6.05,0.29923,0.075
id_55_unrelaxed_rank_3_model_5,5.8,0.33663,0.067
id_60_unrelaxed_rank_3_model_2,2.36,0.86893,0.254
id_75_unrelaxed_rank_2_model_4,2.53,0.85982,0.236
id_52_unrelaxed_rank_1_model_4,2.08,0.89609,0.264
id_15_unrelaxed_rank_5_model_5,5.84,0.23354,0.073
id_36_unrelaxed_rank_5_model_4,5.94,0.26101,0.105
id_46_unrelaxed_rank_4_model_4,2.26,0.87278,0.201
id_19_unrelaxed_rank_4_model_3,6.07,0.27998,0.079
id_38_unrelaxed_rank_1_model_5,2.44,0.8074,0.181
id_57_unrelaxed_rank_2_model_4,1.62,0.92638,0.374
id_68_unrelaxed_rank_2_model_2,3.24,0.76884,0.189
id_89_unrelaxed_rank_2_model_2,1.9,0.9045,0.293
id_17_unrelaxed_rank_1_model_1,2.89,0.82106,0.25
id_47_unrelaxed_rank_4_model_4,3.28,0.75708,0.18
id_30_unrelaxed_rank_4_model_3,2.24,0.86745,0.253
id_44_unrelaxed_rank_5_model_4,6.27,0.30189,0.111
id_42_unrelaxed_rank_4_model_1,1.43,0.94543,0.388
id_37_unrelaxed_rank_3_model_1,5.52,0.30892,0.073
id_70_unrelaxed_rank_2_model_5,5.4,0.28395,0.075
id_32_unrelaxed_rank_3_model_2,5.73,0.32306,0.126
id_44_unrelaxed_rank_3_model_3,5.89,0.26558,0.093
id_20_unrelaxed_rank_2_model_2,3.07,0.81102,0.162
id_45_unrelaxed_rank_1_model_4,5.88,0.31596,0.063
id_98_unrelaxed_rank_4_model_4,5.59,0.27894,0.128
id_61_unrelaxed_rank_3_model_4,3.21,0.77977,0.243
id_7_unrelaxed_rank_2_model_4,2.36,0.87815,0.194
id_24_unrelaxed_rank_1_model_1,2.21,0.87518,0.209
id_83_unrelaxed_rank_3_model_5,2.27,0.88582,0.299
id_25_unrelaxed_rank_2_model_1,5.49,0.29155,0.05
id_80_unrelaxed_rank_3_model_4,2.3,0.84942,0.215
id_98_unrelaxed_rank_5_model_5,5.1,0.26058,0.047
id_94_unrelaxed_rank_1_model_3,1.67,0.92491,0.267
id_96_unrelaxed_rank_4_model_4,2.53,0.82758,0.172
id_93_unrelaxed_rank_5_model_5,4.71,0.52446,0.137
id_34_unrelaxed_rank_5_model_5,2.71,0.84018,0.168
id_65_unrelaxed_rank_5_model_5,1.67,0.92427,0.357
id_77_unrelaxed_rank_4_model_4,2.13,0.89645,0.253
id_9_unrelaxed_rank_1_model_4,2.2,0.89076,0.219
id_28_unrelaxed_rank_5_model_5,2.21,0.8823,0.281
id_7_unrelaxed_rank_1_model_1,2.4,0.87971,0.194
id_37_unrelaxed_rank_5_model_3,5.93,0.28336,0.066
id_12_unrelaxed_rank_2_model_1,3.11,0.7883,0.191
id_15_unrelaxed_rank_4_model_3,5.47,0.28031,0.053
id_80_unrelaxed_rank_1_model_1,2.56,0.84338,0.213
id_11_unrelaxed_rank_5_model_2,5.7,0.29254,0.069
id_2_unrelaxed_rank_3_model_2,3.1,0.7856,0.197
id_66_unrelaxed_rank_3_model_5,2.58,0.848,0.202
id_5_unrelaxed_rank_5_model_4,1.87,0.91246,0.337
id_6_unrelaxed_rank_3_model_5,2.42,0.8715,0.343
id_26_unrelaxed_rank_4_model_5,5.84,0.28351,0.11
id_61_unrelaxed_rank_1_model_3,3.39,0.76096,0.217
id_10_unrelaxed_rank_1_model_4,5.77,0.32768,0.079
